sku,sku_name,category,supplier_id,location_id,storage_bin,quantity_kg,reorder_level_kg,unit_cost_myr,last_restocked,expiry_date,is_hazardous
SKU-00031,Stretch Hood Film,CHEMICALS,SUP-137,LOC-020,WH-T-BIN-31,277.0,10.0,138.62,2026-01-17,,false
SKU-00032,Load Cell 500kg,ELECTRONICS,SUP-087,LOC-020,WH-T-BIN-32,493.0,0.0,758.94,2026-01-29,2026-08-18,false
SKU-00033,Dock Bumpers Pair,FOOD_DRY,SUP-167,LOC-009,WH-I-BIN-33,412.0,0,437.37,2026-01-12,2027-06-12,false
SKU-00034,Floor Marking Paint,FOOD_COLD,SUP-124,LOC-010,WH-J-BIN-34,432.0,15.0,551.51,2026-05-16,,false
SKU-00035,Battery Charger 24V,PACKAGING,SUP-107,LOC-015,WH-O-BIN-35,257.0,25.0,575.25,2026-03-29,,false
SKU-00036,Mesh Security Cage,MACHINERY_PARTS,SUP-034,LOC-013,WH-M-BIN-36,209.0,0.0,215.44,2026-04-23,2026-09-26,false
SKU-00037,Humidity Sensor Probe,PPE,SUP-025,LOC-005,WH-E-BIN-37,168.0,10.0,770.22,2026-05-16,,false
SKU-00038,Pallet Strap Tool,CLEANING,SUP-148,LOC-011,WH-K-BIN-38,11.0,0,400.01,2026-04-08,,false
SKU-00039,Coolant Concentrate,MEDICAL,SUP-006,LOC-016,WH-P-BIN-39,221.0,10.0,40.83,2026-04-14,2027-01-22,false
SKU-00040,,RAW_MATERIALS,SUP-153,LOC-016,WH-P-BIN-40,354.0,0.0,345.88,2026-04-19,2026-09-19,false
SKU-00041,Steel Bolt M8,CHEMICALS,SUP-196,Warehouse L,WH-L-BIN-41,2.0,0,232.30,2026-03-19,2027-05-05,false
SKU-00042,,ELECTRONICS,SUP-072,LOC-018,WH-R-BIN-42,339.0,0.0,316.34,2026-03-31,,false
SKU-00043,Industrial Solvent 5L,FOOD_DRY,SUP-094,LOC-018,WH-R-BIN-43,7.0,26.0,111.36,2026-04-01,2026-06-21,false
SKU-00044,Forklift Battery 24V,FOOD_COLD,SUP-133,LOC-016,WH-P-BIN-44,96.0,25.0,491.23,2026-05-15,,false
SKU-00045,,PACKAGING,SUP-158,LOC-013,WH-M-BIN-45,451.0,40.0,426.81,2026-02-01,,false
SKU-00046,Conveyor Belt Patch,MACHINERY_PARTS,SUP-122,LOC-010,WH-J-BIN-46,28.0,0.0,467.79,2025-12-31,,false
SKU-00047,Shrink Wrap Film Roll,PPE,SUP-153,LOC-001,WH-A-BIN-47,155.0,25.0,467.65,2026-05-13,,false
SKU-00048,Label Printer Ribbon,CLEANING,SUP-162,LOC-017,WH-Q-BIN-48,337.0,40.0,195.27,2026-01-30,,false
SKU-00049,Dock Leveler Seal,MEDICAL,SUP-049,Warehouse D,WH-D-BIN-49,245.0,10.0,329.48,2026-01-20,,false
SKU-00050,LED Warehouse Light,RAW_MATERIALS,SUP-189,LOC-016,WH-P-BIN-50,51.0,40.0,798.50,2026-02-23,,false
SKU-00051,Nitrile Gloves Box,CHEMICALS,SUP-097,LOC-017,WH-Q-BIN-51,108.0,20.0,541.34,2026-01-02,,false
SKU-00052,,ELECTRONICS,SUP-157,LOC-009,WH-I-BIN-52,118.0,25.0,753.31,2026-04-10,,false
SKU-00053,Barcode Scanner,FOOD_DRY,SUP-181,LOC-010,WH-J-BIN-53,373.0,15.0,747.09,2026-04-16,,false
SKU-00054,Fire Extinguisher 4kg,FOOD_COLD,SUP-032,LOC-010,WH-J-BIN-54,366.0,30.0,277.42,2026-05-19,,false
SKU-00055,,PACKAGING,SUP-011,LOC-010,WH-J-BIN-55,15.0,20.0,172.76,2026-02-08,,false
SKU-00056,,MACHINERY_PARTS,SUP-144,LOC-009,WH-I-BIN-56,38.0,40.0,182.09,2026-04-27,2027-04-23,false
SKU-00057,Cable Tie Assorted,PPE,SUP-026,LOC-002,WH-B-BIN-57,189.0,25.0,6.13,2026-02-05,,false
SKU-00058,,CLEANING,SUP-105,LOC-006,WH-F-BIN-58,498.0,40.0,605.22,2026-04-13,,false
SKU-00059,Wooden Pallet Std,MEDICAL,SUP-074,LOC-011,WH-K-BIN-59,50.0,40.0,429.05,2026-06-16,,false
SKU-00060,Steel Shelving Unit,RAW_MATERIALS,SUP-107,LOC-006,WH-F-BIN-60,110.0,0.0,318.80,2026-02-19,2026-03-10,false
SKU-00061,Hand Truck,CHEMICALS,SUP-192,LOC-006,WH-F-BIN-61,494.0,0,455.23,2026-05-29,2026-05-18,false
SKU-00062,Spill Kit 20L,ELECTRONICS,SUP-073,LOC-011,WH-K-BIN-62,348.0,0,681.15,2026-02-26,,false
SKU-00063,Epoxy Resin 1L,FOOD_DRY,SUP-050,LOC-009,WH-I-BIN-63,77.0,0,575.44,2026-06-22,,false
SKU-00064,Chain Block 1T,FOOD_COLD,SUP-076,LOC-011,WH-K-BIN-64,365.0,30.0,717.84,2026-03-08,,false
SKU-00065,Temperature Logger,PACKAGING,SUP-084,LOC-017,WH-Q-BIN-65,225.0,0,748.79,2026-06-24,2027-01-07,false
SKU-00066,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-099,LOC-009,WH-I-BIN-66,248.0,15.0,578.86,2026-06-23,,false
SKU-00067,Welding Rod 3.2mm,PPE,SUP-168,LOC-009,WH-I-BIN-67,374.0,20.0,129.45,2026-01-01,,false
SKU-00068,Compressed Air Hose,CLEANING,SUP-181,LOC-017,WH-Q-BIN-68,179.0,0.0,295.30,2026-04-30,,false
SKU-00069,First Aid Refill,MEDICAL,SUP-035,LOC-008,WH-H-BIN-69,98.0,25.0,562.15,2026-02-25,,false
SKU-00070,Racking Beam 2.4m,RAW_MATERIALS,SUP-171,LOC-018,WH-R-BIN-70,131.0,0,630.32,2026-02-11,,false
SKU-00071,Stretch Hood Film,CHEMICALS,SUP-136,LOC-015,WH-O-BIN-71,37.0,40.0,722.50,2026-05-05,,false
SKU-00072,,ELECTRONICS,SUP-043,LOC-005,WH-E-BIN-72,457.0,20.0,392.08,2026-02-15,2027-05-20,false
SKU-00073,Dock Bumpers Pair,FOOD_DRY,SUP-015,LOC-015,WH-O-BIN-73,87.0,0,538.87,2026-04-08,2027-03-19,false
SKU-00074,Floor Marking Paint,FOOD_COLD,SUP-102,LOC-001,WH-A-BIN-74,438.0,20.0,560.91,2026-02-07,2027-01-18,false
SKU-00075,Battery Charger 24V,PACKAGING,SUP-018,LOC-002,WH-B-BIN-75,36.0,25.0,782.71,2026-01-11,2027-06-19,false
SKU-00076,,MACHINERY_PARTS,SUP-096,LOC-014,WH-N-BIN-76,249.0,25.0,546.82,2026-01-07,,false
SKU-00077,,PPE,SUP-035,LOC-018,WH-R-BIN-77,460.0,0,424.02,2026-04-29,,false
SKU-00078,Pallet Strap Tool,CLEANING,SUP-194,LOC-001,WH-A-BIN-78,172.0,10.0,185.27,2026-02-28,,false
SKU-00079,Coolant Concentrate,MEDICAL,SUP-040,LOC-012,WH-L-BIN-79,116.0,20.0,336.55,2026-06-21,2027-06-29,false
SKU-00080,Wheel Chock Rubber,RAW_MATERIALS,SUP-053,LOC-008,WH-H-BIN-80,71.0,10.0,698.03,2026-04-24,,false
SKU-00081,Steel Bolt M8,CHEMICALS,SUP-103,LOC-002,WH-B-BIN-01,139.0,25.0,113.83,2026-04-12,,true
SKU-00082,Hydraulic Hose 2in,ELECTRONICS,SUP-082,LOC-019,WH-S-BIN-02,326.0,30.0,788.59,2026-02-12,2026-10-07,false
SKU-00083,Industrial Solvent 5L,FOOD_DRY,SUP-106,LOC-008,WH-H-BIN-03,19.0,20.0,501.54,2026-03-08,,false
SKU-00084,Forklift Battery 24V,FOOD_COLD,SUP-127,LOC-018,WH-R-BIN-04,196.0,10.0,256.35,2026-03-11,,false
SKU-00085,Safety Gloves L,PACKAGING,SUP-039,LOC-014,WH-N-BIN-05,18.0,0,241.99,2026-05-20,,false
SKU-00086,Conveyor Belt Patch,MACHINERY_PARTS,SUP-015,LOC-015,WH-O-BIN-06,231.0,30.0,205.49,2026-04-02,2026-11-27,false
SKU-00087,Shrink Wrap Film Roll,PPE,SUP-116,LOC-003,WH-C-BIN-07,4.0,0,483.13,2026-06-07,,false
SKU-00088,Label Printer Ribbon,CLEANING,SUP-195,LOC-007,WH-G-BIN-08,390.0,30.0,243.94,2026-06-22,2027-01-12,false
SKU-00089,Dock Leveler Seal,MEDICAL,SUP-049,LOC-007,WH-G-BIN-09,80.0,40.0,557.11,2026-05-04,,false
SKU-00090,LED Warehouse Light,RAW_MATERIALS,SUP-062,LOC-013,WH-M-BIN-10,184.0,30.0,288.69,2026-04-20,,false
SKU-00091,Nitrile Gloves Box,CHEMICALS,SUP-132,LOC-012,WH-L-BIN-11,24.0,25.0,731.64,2026-03-23,,true
SKU-00092,,ELECTRONICS,SUP-145,LOC-002,WH-B-BIN-12,133.0,0.0,747.94,2026-01-28,2026-04-16,false
SKU-00093,Barcode Scanner,FOOD_DRY,SUP-076,LOC-014,WH-N-BIN-13,120.0,15.0,400.44,2026-01-09,,false
SKU-00094,Fire Extinguisher 4kg,FOOD_COLD,SUP-066,LOC-011,WH-K-BIN-14,440.0,0.0,369.74,2026-03-27,,false
SKU-00095,PVC Pipe 50mm,PACKAGING,SUP-036,LOC-006,WH-F-BIN-15,299.0,40.0,514.16,2026-06-10,,false
SKU-00096,,MACHINERY_PARTS,SUP-009,LOC-017,WH-Q-BIN-16,1.0,10.0,186.68,2026-05-18,,false
SKU-00097,Cable Tie Assorted,PPE,SUP-056,LOC-001,WH-A-BIN-17,253.0,30.0,730.38,2026-01-08,,false
SKU-00098,Dust Mask N95 Pack,CLEANING,SUP-005,LOC-016,WH-P-BIN-18,292.0,10.0,578.31,2026-02-08,2026-04-19,false
SKU-00099,Wooden Pallet Std,MEDICAL,SUP-005,LOC-010,WH-J-BIN-19,436.0,30.0,145.05,2026-06-01,,false
SKU-00100,Steel Shelving Unit,RAW_MATERIALS,SUP-039,LOC-017,WH-Q-BIN-20,118.0,15.0,636.36,2026-06-05,,false
SKU-00101,Hand Truck,CHEMICALS,SUP-104,Warehouse L,WH-L-BIN-21,309.0,0,662.79,2026-06-05,,false
SKU-00102,Spill Kit 20L,ELECTRONICS,SUP-024,LOC-002,WH-B-BIN-22,214.0,25.0,562.87,2026-06-04,,false
SKU-00103,Epoxy Resin 1L,FOOD_DRY,SUP-112,LOC-016,WH-P-BIN-23,421.0,40.0,716.04,2026-06-15,,false
SKU-00104,Chain Block 1T,FOOD_COLD,SUP-055,Warehouse H,WH-H-BIN-24,374.0,0.0,548.17,2026-04-15,2026-09-02,false
SKU-00105,Temperature Logger,PACKAGING,SUP-145,LOC-018,WH-R-BIN-25,21.0,40.0,470.45,2026-03-16,2026-05-30,false
SKU-00106,,MACHINERY_PARTS,SUP-077,LOC-003,WH-C-BIN-26,308.0,15.0,717.43,2026-04-02,,false
SKU-00107,Welding Rod 3.2mm,PPE,SUP-194,LOC-013,WH-M-BIN-27,91.0,0,44.85,2026-03-06,2027-01-19,false
SKU-00108,Compressed Air Hose,CLEANING,SUP-020,Warehouse H,WH-H-BIN-28,329.0,20.0,619.30,2026-06-18,,false
SKU-00109,First Aid Refill,MEDICAL,SUP-116,LOC-009,WH-I-BIN-29,136.0,25.0,544.40,2026-01-07,,false
SKU-00110,Racking Beam 2.4m,RAW_MATERIALS,SUP-022,LOC-013,WH-M-BIN-30,336.0,0.0,125.07,2026-01-14,2026-12-10,false
SKU-00111,Stretch Hood Film,CHEMICALS,SUP-190,LOC-005,WH-E-BIN-31,182.0,25.0,356.90,2026-04-17,,true
SKU-00112,Load Cell 500kg,ELECTRONICS,SUP-048,LOC-003,WH-C-BIN-32,249.0,25.0,284.42,2026-06-02,2026-09-09,false
SKU-00113,Dock Bumpers Pair,FOOD_DRY,SUP-154,LOC-020,WH-T-BIN-33,186.0,0.0,311.46,2026-06-04,2026-05-04,false
SKU-00114,Floor Marking Paint,FOOD_COLD,SUP-063,LOC-018,WH-R-BIN-34,13.0,30.0,216.19,2026-05-19,,false
SKU-00115,Battery Charger 24V,PACKAGING,SUP-043,LOC-003,WH-C-BIN-35,161.0,25.0,755.49,2026-01-16,2026-12-01,false
SKU-00116,Mesh Security Cage,MACHINERY_PARTS,SUP-153,LOC-016,WH-P-BIN-36,120.0,30.0,267.11,2026-01-18,2027-02-13,false
SKU-00117,Humidity Sensor Probe,PPE,SUP-085,LOC-013,WH-M-BIN-37,191.0,0,476.33,2026-04-10,,false
SKU-00118,Pallet Strap Tool,CLEANING,SUP-155,LOC-011,WH-K-BIN-38,122.0,0,256.67,2025-12-30,,false
SKU-00119,Coolant Concentrate,MEDICAL,SUP-148,LOC-016,WH-P-BIN-39,144.0,0.0,293.28,2026-02-01,,false
SKU-00120,Wheel Chock Rubber,RAW_MATERIALS,SUP-152,LOC-007,WH-G-BIN-40,112.0,30.0,370.37,2026-05-03,,false
SKU-00121,,CHEMICALS,SUP-075,Warehouse O,WH-O-BIN-41,7.0,25.0,203.64,2026-05-17,,false
SKU-00122,Hydraulic Hose 2in,ELECTRONICS,SUP-019,LOC-013,WH-M-BIN-42,326.0,25.0,736.47,2025-12-30,,false
SKU-00123,Industrial Solvent 5L,FOOD_DRY,SUP-140,LOC-014,WH-N-BIN-43,424.0,10.0,475.87,2026-06-04,,false
SKU-00124,Forklift Battery 24V,FOOD_COLD,SUP-197,LOC-004,WH-D-BIN-44,356.0,15.0,451.45,2026-01-11,,false
SKU-00125,Safety Gloves L,PACKAGING,SUP-193,LOC-013,WH-M-BIN-45,427.0,20.0,179.16,2026-02-13,2026-05-23,false
SKU-00126,Conveyor Belt Patch,MACHINERY_PARTS,SUP-149,LOC-018,WH-R-BIN-46,314.0,40.0,544.29,2025-12-31,,false
SKU-00127,Shrink Wrap Film Roll,PPE,SUP-039,LOC-017,WH-Q-BIN-47,32.0,0,70.51,2026-05-20,,false
SKU-00128,Label Printer Ribbon,CLEANING,SUP-080,LOC-012,WH-L-BIN-48,253.0,20.0,79.90,2025-12-29,,false
SKU-00129,Dock Leveler Seal,MEDICAL,SUP-082,LOC-015,WH-O-BIN-49,2.0,10.0,519.08,2026-01-03,2026-05-13,false
SKU-00130,,RAW_MATERIALS,SUP-190,LOC-006,WH-F-BIN-50,3.0,15.0,370.72,2026-03-14,,false
SKU-00131,,CHEMICALS,SUP-048,LOC-006,WH-F-BIN-51,356.0,40.0,706.71,2026-03-02,2026-04-08,false
SKU-00132,Pallet Jack Wheel,ELECTRONICS,SUP-002,Warehouse M,WH-M-BIN-52,129.0,40.0,51.93,2026-05-30,,false
SKU-00133,Barcode Scanner,FOOD_DRY,SUP-048,LOC-018,WH-R-BIN-53,4.0,20.0,423.12,2026-01-13,,false
SKU-00134,Fire Extinguisher 4kg,FOOD_COLD,SUP-153,LOC-011,WH-K-BIN-54,332.0,25.0,367.37,2026-05-12,,false
SKU-00135,PVC Pipe 50mm,PACKAGING,SUP-158,LOC-010,WH-J-BIN-55,63.0,30.0,148.07,2025-12-30,2026-09-23,false
SKU-00136,Rubber Gasket Set,MACHINERY_PARTS,SUP-131,LOC-005,WH-E-BIN-56,234.0,25.0,390.36,2026-02-08,,false
SKU-00137,Cable Tie Assorted,PPE,SUP-143,LOC-006,WH-F-BIN-57,270.0,15.0,496.29,2026-03-26,,false
SKU-00138,Dust Mask N95 Pack,CLEANING,SUP-125,LOC-001,WH-A-BIN-58,119.0,15.0,548.39,2026-03-11,,false
SKU-00139,Wooden Pallet Std,MEDICAL,SUP-126,wh_o,WH-O-BIN-59,62.0,15.0,221.33,2026-02-08,2026-08-11,false
SKU-00140,Steel Shelving Unit,RAW_MATERIALS,SUP-044,LOC-010,WH-J-BIN-60,254.0,0.0,409.62,2026-01-30,,false
SKU-00141,Hand Truck,CHEMICALS,SUP-069,LOC-004,WH-D-BIN-61,298.0,0.0,35.21,2026-03-05,,false
SKU-00142,,ELECTRONICS,SUP-027,LOC-014,WH-N-BIN-62,444.0,40.0,27.72,2026-04-19,,false
SKU-00143,Epoxy Resin 1L,FOOD_DRY,SUP-023,LOC-012,WH-L-BIN-63,463.0,0,551.93,2026-01-20,2027-05-23,false
SKU-00144,Chain Block 1T,FOOD_COLD,SUP-043,LOC-014,WH-N-BIN-64,91.0,30.0,456.92,2026-02-09,,false
SKU-00145,Temperature Logger,PACKAGING,SUP-153,Warehouse I,WH-I-BIN-65,106.0,30.0,215.34,2026-02-14,,false
SKU-00146,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-035,LOC-004,WH-D-BIN-66,422.0,0.0,693.90,2026-05-24,2026-05-21,false
SKU-00147,Welding Rod 3.2mm,PPE,SUP-064,LOC-005,WH-E-BIN-67,384.0,15.0,315.38,2026-05-20,,false
SKU-00148,,CLEANING,SUP-162,LOC-019,WH-S-BIN-68,341.0,20.0,704.34,2026-06-02,,false
SKU-00149,First Aid Refill,MEDICAL,SUP-132,LOC-013,WH-M-BIN-69,162.0,40.0,391.46,2026-01-28,,false
SKU-00150,,RAW_MATERIALS,SUP-199,LOC-001,WH-A-BIN-70,395.0,0.0,508.60,2025-12-29,,false
SKU-00151,Stretch Hood Film,CHEMICALS,SUP-017,LOC-012,WH-L-BIN-71,293.0,0.0,396.78,2026-04-04,,false
SKU-00152,Load Cell 500kg,ELECTRONICS,SUP-141,LOC-011,WH-K-BIN-72,86.0,30.0,546.68,2026-06-13,,false
SKU-00153,Dock Bumpers Pair,FOOD_DRY,SUP-026,LOC-002,WH-B-BIN-73,421.0,40.0,686.41,2026-03-05,2026-02-27,false
SKU-00154,,FOOD_COLD,SUP-001,LOC-015,WH-O-BIN-74,123.0,0,242.89,2026-04-16,,false
SKU-00155,Battery Charger 24V,PACKAGING,SUP-168,LOC-003,WH-C-BIN-75,6.0,20.0,245.80,2025-12-28,2026-04-06,false
SKU-00156,Mesh Security Cage,MACHINERY_PARTS,SUP-110,LOC-008,WH-H-BIN-76,66.0,40.0,64.20,2026-01-25,2026-04-25,false
SKU-00157,Humidity Sensor Probe,PPE,SUP-133,LOC-008,WH-H-BIN-77,22.0,40.0,339.01,2026-05-23,,false
SKU-00158,Pallet Strap Tool,CLEANING,SUP-019,LOC-016,WH-P-BIN-78,13.0,0,705.03,2026-05-21,,false
SKU-00159,,MEDICAL,SUP-199,LOC-013,WH-M-BIN-79,405.0,0.0,56.59,2026-02-01,,false
SKU-00160,,RAW_MATERIALS,SUP-157,LOC-001,WH-A-BIN-80,104.0,40.0,493.63,2026-03-04,2027-02-21,false
SKU-00161,Steel Bolt M8,CHEMICALS,SUP-023,LOC-007,WH-G-BIN-01,91.0,10.0,770.67,2026-04-06,,false
SKU-00162,Hydraulic Hose 2in,ELECTRONICS,SUP-071,LOC-008,WH-H-BIN-02,63.0,40.0,229.37,2025-12-31,,false
SKU-00163,Industrial Solvent 5L,FOOD_DRY,SUP-169,LOC-001,WH-A-BIN-03,125.0,20.0,517.64,2026-04-25,,false
SKU-00164,,FOOD_COLD,SUP-099,LOC-016,WH-P-BIN-04,143.0,10.0,782.20,2026-03-25,,false
SKU-00165,Safety Gloves L,PACKAGING,SUP-034,LOC-011,WH-K-BIN-05,460.0,25.0,139.87,2026-02-25,,false
SKU-00166,Conveyor Belt Patch,MACHINERY_PARTS,SUP-005,LOC-003,WH-C-BIN-06,7.0,30.0,759.05,2026-03-16,2026-06-18,false
SKU-00167,Shrink Wrap Film Roll,PPE,SUP-074,LOC-017,WH-Q-BIN-07,384.0,40.0,67.78,2026-02-08,,false
SKU-00168,Label Printer Ribbon,CLEANING,SUP-158,LOC-018,WH-R-BIN-08,2.0,15.0,430.04,2026-03-17,2026-10-13,false
SKU-00169,,MEDICAL,SUP-163,LOC-019,WH-S-BIN-09,447.0,0.0,351.11,2026-04-25,,false
SKU-00170,LED Warehouse Light,RAW_MATERIALS,SUP-063,LOC-002,WH-B-BIN-10,493.0,0,248.81,2026-01-08,,false
SKU-00171,Nitrile Gloves Box,CHEMICALS,SUP-031,LOC-006,WH-F-BIN-11,1.0,10.0,419.36,2026-04-20,,true
SKU-00172,,ELECTRONICS,SUP-192,LOC-005,WH-E-BIN-12,467.0,0.0,25.43,2026-03-08,,false
SKU-00173,,FOOD_DRY,SUP-135,LOC-009,WH-I-BIN-13,154.0,10.0,409.60,2026-06-11,2027-03-16,false
SKU-00174,Fire Extinguisher 4kg,FOOD_COLD,SUP-146,LOC-016,WH-P-BIN-14,13.0,15.0,578.78,2026-04-28,,false
SKU-00175,PVC Pipe 50mm,PACKAGING,SUP-001,LOC-017,WH-Q-BIN-15,459.0,10.0,307.62,2026-05-18,,false
SKU-00176,Rubber Gasket Set,MACHINERY_PARTS,SUP-010,LOC-006,WH-F-BIN-16,431.0,30.0,258.80,2026-03-11,,false
SKU-00177,Cable Tie Assorted,PPE,SUP-070,LOC-011,WH-K-BIN-17,59.0,0.0,44.03,2026-04-29,,false
SKU-00178,Dust Mask N95 Pack,CLEANING,SUP-012,LOC-017,WH-Q-BIN-18,55.0,25.0,249.94,2026-06-03,,false
SKU-00179,Wooden Pallet Std,MEDICAL,SUP-117,LOC-018,WH-R-BIN-19,208.0,10.0,498.93,2026-02-27,,false
SKU-00180,Steel Shelving Unit,RAW_MATERIALS,SUP-152,LOC-012,WH-L-BIN-20,415.0,0,637.19,2026-05-18,,false
SKU-00181,Hand Truck,CHEMICALS,SUP-105,LOC-001,WH-A-BIN-21,139.0,10.0,760.89,2026-06-25,,false
SKU-00182,Spill Kit 20L,ELECTRONICS,SUP-189,LOC-013,WH-M-BIN-22,34.0,40.0,769.03,2026-05-20,,false
SKU-00183,Epoxy Resin 1L,FOOD_DRY,SUP-024,LOC-009,WH-I-BIN-23,491.0,10.0,716.67,2026-02-28,,false
SKU-00184,Chain Block 1T,FOOD_COLD,SUP-149,LOC-003,WH-C-BIN-24,7.0,10.0,51.70,2026-01-07,2026-04-14,false
SKU-00185,Temperature Logger,PACKAGING,SUP-061,Warehouse E,WH-E-BIN-25,153.0,20.0,665.86,2026-04-03,,false
SKU-00186,,MACHINERY_PARTS,SUP-116,LOC-011,WH-K-BIN-26,7.0,0,88.96,2026-05-29,,false
SKU-00187,Welding Rod 3.2mm,PPE,SUP-116,LOC-006,WH-F-BIN-27,180.0,25.0,167.69,2026-04-08,,false
SKU-00188,Compressed Air Hose,CLEANING,SUP-068,LOC-015,WH-O-BIN-28,5.0,29.0,685.55,2026-05-19,2026-03-11,false
SKU-00189,First Aid Refill,MEDICAL,SUP-183,LOC-003,WH-C-BIN-29,202.0,15.0,209.61,2026-05-12,2026-05-18,false
SKU-00190,Racking Beam 2.4m,RAW_MATERIALS,SUP-104,LOC-001,WH-A-BIN-30,251.0,0,77.59,2026-05-30,,false
SKU-00191,,CHEMICALS,SUP-032,LOC-005,WH-E-BIN-31,51.0,10.0,299.05,2026-01-15,2027-02-16,false
SKU-00192,Load Cell 500kg,ELECTRONICS,SUP-150,LOC-003,WH-C-BIN-32,152.0,30.0,159.80,2026-01-11,2026-06-17,false
SKU-00193,Dock Bumpers Pair,FOOD_DRY,SUP-033,LOC-015,WH-O-BIN-33,483.0,10.0,42.41,2026-01-30,2027-03-19,false
SKU-00194,,FOOD_COLD,SUP-186,LOC-014,WH-N-BIN-34,22.0,25.0,726.83,2026-04-16,,false
