sku,sku_name,category,supplier_id,location_id,storage_bin,quantity_kg,reorder_level_kg,unit_cost_myr,last_restocked,expiry_date,is_hazardous
SKU-00027,Welding Rod 3.2mm,PPE,SUP-135,wh-p,WH-P-BIN-27,413.0,25,514.59,20/02/2026,2026-12-25,false
SKU-00028,Compressed Air Hose,CLEANING,SUP-175,wh-o,WH-O-BIN-28,27.0kg,30,147.21,2026-05-13,,false
SKU-00029,First Aid Refill,MEDICAL,SUP-129,LOC-014,WH-N-BIN-29,48.0kg,0,131.25,Apr 19 2026,,false
SKU-00030,Racking Beam 2.4m,RAW_MATERIALS,SUP-133,whse l,WH-L-BIN-30,7.0kg,20,101.89,30/03/2026,,false
SKU-00031,Stretch Hood Film,CHEMICALS,SUP-137,LOC-020,WH-T-BIN-31,277.0 KG,10,138.62,Jan 07 2026,,false
SKU-00032,Load Cell 500kg,ELECTRONICS,SUP-087,LOC-020,WH-T-BIN-32,493.0 KG,0,758.94,2026-01-19,08/08/2026,false
SKU-00033,Dock Bumpers Pair,FOOD_DRY,SUP-167,LOC-009,WH-I-BIN-33,412.0kilogram,,437.37,02/01/2026,02/06/2027,false
SKU-00034,Floor Marking Paint,FOOD_COLD,SUP-124,LOC-010,WH-J-BIN-34,432.0kilogram,15,551.51,2026-05-06,,false
SKU-00035,Battery Charger 24V,PACKAGING,SUP-107,LOC-015,WH-O-BIN-35,257.0kg,25,575.25,19/03/2026,,false
SKU-00036,Mesh Security Cage,MACHINERY_PARTS,SUP-034,LOC-013,WH-M-BIN-36,209.0kilogram,0,215.44,2026-04-13,2026-09-16,false
SKU-00037,Humidity Sensor Probe,PPE,SUP-025,whse e,WH-E-BIN-37,168.0kilogram,10,770.22,06/05/2026,,false
SKU-00038,Pallet Strap Tool,CLEANING,SUP-148,LOC-011,WH-K-BIN-38,11.0kilogram,,400.01,29/03/2026,,false
SKU-00039,Coolant Concentrate,MEDICAL,SUP-006,wh_p,WH-P-BIN-39,221.0 KG,10,40.83,04/04/2026,12/01/2027,false
SKU-00040,,RAW_MATERIALS,SUP-153,LOC-016,WH-P-BIN-40,354.0,0,345.88,Apr 09 2026,09/09/2026,false
SKU-00041,Steel Bolt M8,CHEMICALS,SUP-196,Warehouse L,WH-L-BIN-41,2.0,,232.30,09/03/2026,Apr 25 2027,false
SKU-00042,,ELECTRONICS,SUP-072,LOC-018,WH-R-BIN-42,339.0kilogram,0,316.34,21/03/2026,,false
SKU-00043,Industrial Solvent 5L,FOOD_DRY,SUP-094,LOC-018,WH-R-BIN-43,7.0kilogram,26,111.36,Mar 22 2026,Jun 11 2026,false
SKU-00044,Forklift Battery 24V,FOOD_COLD,SUP-133,LOC-016,WH-P-BIN-44,96.0,25,491.23,2026-05-05,,false
SKU-00045,,PACKAGING,SUP-158,wh_m,WH-M-BIN-45,451.0kg,40,426.81,Jan 22 2026,,false
SKU-00046,Conveyor Belt Patch,MACHINERY_PARTS,SUP-122,LOC-010,WH-J-BIN-46,28.0kilogram,0,467.79,2025-12-21,,false
SKU-00047,Shrink Wrap Film Roll,PPE,SUP-153,LOC-001,WH-A-BIN-47,155.0 KG,25,467.65,03/05/2026,,false
SKU-00048,Label Printer Ribbon,CLEANING,SUP-162,LOC-017,WH-Q-BIN-48,337.0,40,195.27,2026-01-20,,false
SKU-00049,Dock Leveler Seal,MEDICAL,SUP-049,Warehouse D,WH-D-BIN-49,245.0kilogram,10,329.48,10/01/2026,,false
SKU-00050,LED Warehouse Light,RAW_MATERIALS,SUP-189,LOC-016,WH-P-BIN-50,51.0kilogram,40,798.50,13/02/2026,,false
SKU-00051,Nitrile Gloves Box,CHEMICALS,SUP-097,LOC-017,WH-Q-BIN-51,108.0 KG,20,541.34,2025-12-23,,false
SKU-00052,,ELECTRONICS,SUP-157,LOC-009,WH-I-BIN-52,118.0,25,753.31,31/03/2026,,false
SKU-00053,Barcode Scanner,FOOD_DRY,SUP-181,WH-J,WH-J-BIN-53,373.0kg,15,747.09,2026-04-06,,false
SKU-00054,Fire Extinguisher 4kg,FOOD_COLD,SUP-032,LOC-010,WH-J-BIN-54,366.0 KG,30,277.42,May 09 2026,,false
SKU-00055,,PACKAGING,SUP-011,WH-J,WH-J-BIN-55,15.0,20,172.76,2026-01-29,,false
SKU-00056,,MACHINERY_PARTS,SUP-144,LOC-009,WH-I-BIN-56,38.0,40,182.09,17/04/2026,Apr 13 2027,false
SKU-00057,Cable Tie Assorted,PPE,SUP-026,whse b,WH-B-BIN-57,189.0kg,25,6.13,Jan 26 2026,,false
SKU-00058,,CLEANING,SUP-105,LOC-006,WH-F-BIN-58,498.0,40,605.22,03/04/2026,,false
SKU-00059,Wooden Pallet Std,MEDICAL,SUP-074,LOC-011,WH-K-BIN-59,50.0 KG,40,429.05,06/06/2026,,false
SKU-00060,Steel Shelving Unit,RAW_MATERIALS,SUP-107,LOC-006,WH-F-BIN-60,110.0kilogram,0,318.80,2026-02-09,Feb 28 2026,false
SKU-00061,Hand Truck,CHEMICALS,SUP-192,wh-f,WH-F-BIN-61,494.0kg,,455.23,May 19 2026,May 08 2026,false
SKU-00062,Spill Kit 20L,ELECTRONICS,SUP-073,wh-k,WH-K-BIN-62,348.0kilogram,,681.15,Feb 16 2026,,false
SKU-00063,Epoxy Resin 1L,FOOD_DRY,SUP-050,LOC-009,WH-I-BIN-63,77.0kilogram,,575.44,12/06/2026,,false
SKU-00064,Chain Block 1T,FOOD_COLD,SUP-076,LOC-011,WH-K-BIN-64,365.0 KG,30,717.84,26/02/2026,,false
SKU-00065,Temperature Logger,PACKAGING,SUP-084,wh-q,WH-Q-BIN-65,225.0 KG,,748.79,Jun 14 2026,28/12/2026,false
SKU-00066,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-099,whse i,WH-I-BIN-66,248.0kg,15,578.86,2026-06-13,,false
SKU-00067,Welding Rod 3.2mm,PPE,SUP-168,LOC-009,WH-I-BIN-67,374.0kg,20,129.45,2025-12-22,,false
SKU-00068,Compressed Air Hose,CLEANING,SUP-181,LOC-017,WH-Q-BIN-68,179.0,0,295.30,Apr 20 2026,,false
SKU-00069,First Aid Refill,MEDICAL,SUP-035,LOC-008,WH-H-BIN-69,98.0,25,562.15,Feb 15 2026,,false
SKU-00070,Racking Beam 2.4m,RAW_MATERIALS,SUP-171,LOC-018,WH-R-BIN-70,131.0kilogram,,630.32,Feb 01 2026,,false
SKU-00071,Stretch Hood Film,CHEMICALS,SUP-136,LOC-015,WH-O-BIN-71,37.0 KG,40,722.50,Apr 25 2026,,false
SKU-00072,,ELECTRONICS,SUP-043,LOC-005,WH-E-BIN-72,457.0,20,392.08,2026-02-05,May 10 2027,false
SKU-00073,Dock Bumpers Pair,FOOD_DRY,SUP-015,LOC-015,WH-O-BIN-73,87.0kilogram,,538.87,Mar 29 2026,Mar 09 2027,false
SKU-00074,Floor Marking Paint,FOOD_COLD,SUP-102,LOC-001,WH-A-BIN-74,438.0kg,20,560.91,Jan 28 2026,08/01/2027,false
SKU-00075,Battery Charger 24V,PACKAGING,SUP-018,LOC-002,WH-B-BIN-75,36.0kilogram,25,782.71,Jan 01 2026,2027-06-09,false
SKU-00076,,MACHINERY_PARTS,SUP-096,whse n,WH-N-BIN-76,249.0,25,546.82,2025-12-28,,false
SKU-00077,,PPE,SUP-035,LOC-018,WH-R-BIN-77,460.0 KG,,424.02,2026-04-19,,false
SKU-00078,Pallet Strap Tool,CLEANING,SUP-194,LOC-001,WH-A-BIN-78,172.0kg,10,185.27,Feb 18 2026,,false
SKU-00079,Coolant Concentrate,MEDICAL,SUP-040,LOC-012,WH-L-BIN-79,116.0kilogram,20,336.55,11/06/2026,Jun 19 2027,false
SKU-00080,Wheel Chock Rubber,RAW_MATERIALS,SUP-053,WH-H,WH-H-BIN-80,71.0 KG,10,698.03,Apr 14 2026,,false
SKU-00081,Steel Bolt M8,CHEMICALS,SUP-103,wh_b,WH-B-BIN-01,139.0,25,113.83,02/04/2026,,true
SKU-00082,Hydraulic Hose 2in,ELECTRONICS,SUP-082,LOC-019,WH-S-BIN-02,326.0kg,30,788.59,Feb 02 2026,2026-09-27,false
SKU-00083,Industrial Solvent 5L,FOOD_DRY,SUP-106,LOC-008,WH-H-BIN-03,19.0,20,501.54,26/02/2026,,false
SKU-00084,Forklift Battery 24V,FOOD_COLD,SUP-127,whse r,WH-R-BIN-04,196.0 KG,10,256.35,01/03/2026,,false
SKU-00085,Safety Gloves L,PACKAGING,SUP-039,LOC-014,WH-N-BIN-05,18.0,,241.99,10/05/2026,,false
SKU-00086,Conveyor Belt Patch,MACHINERY_PARTS,SUP-015,LOC-015,WH-O-BIN-06,231.0 KG,30,205.49,2026-03-23,17/11/2026,false
SKU-00087,Shrink Wrap Film Roll,PPE,SUP-116,whse c,WH-C-BIN-07,4.0,,483.13,May 28 2026,,false
SKU-00088,Label Printer Ribbon,CLEANING,SUP-195,LOC-007,WH-G-BIN-08,390.0kilogram,30,243.94,12/06/2026,02/01/2027,false
SKU-00089,Dock Leveler Seal,MEDICAL,SUP-049,LOC-007,WH-G-BIN-09,80.0,40,557.11,2026-04-24,,false
SKU-00090,LED Warehouse Light,RAW_MATERIALS,SUP-062,wh-m,WH-M-BIN-10,184.0 KG,30,288.69,10/04/2026,,false
SKU-00091,Nitrile Gloves Box,CHEMICALS,SUP-132,LOC-012,WH-L-BIN-11,24.0kg,25,731.64,Mar 13 2026,,true
SKU-00092,,ELECTRONICS,SUP-145,wh-b,WH-B-BIN-12,133.0,0,747.94,Jan 18 2026,2026-04-06,false
SKU-00093,Barcode Scanner,FOOD_DRY,SUP-076,LOC-014,WH-N-BIN-13,120.0 KG,15,400.44,Dec 30 2025,,false
SKU-00094,Fire Extinguisher 4kg,FOOD_COLD,SUP-066,wh-k,WH-K-BIN-14,440.0kg,0,369.74,Mar 17 2026,,false
SKU-00095,PVC Pipe 50mm,PACKAGING,SUP-036,wh_f,WH-F-BIN-15,299.0,40,514.16,31/05/2026,,false
SKU-00096,,MACHINERY_PARTS,SUP-009,LOC-017,WH-Q-BIN-16,1.0 KG,10,186.68,2026-05-08,,false
SKU-00097,Cable Tie Assorted,PPE,SUP-056,whse a,WH-A-BIN-17,253.0 KG,30,730.38,2025-12-29,,false
SKU-00098,Dust Mask N95 Pack,CLEANING,SUP-005,WH-P,WH-P-BIN-18,292.0,10,578.31,2026-01-29,Apr 09 2026,false
SKU-00099,Wooden Pallet Std,MEDICAL,SUP-005,wh-j,WH-J-BIN-19,436.0 KG,30,145.05,May 22 2026,,false
SKU-00100,Steel Shelving Unit,RAW_MATERIALS,SUP-039,LOC-017,WH-Q-BIN-20,118.0 KG,15,636.36,26/05/2026,,false
SKU-00101,Hand Truck,CHEMICALS,SUP-104,Warehouse L,WH-L-BIN-21,309.0kg,,662.79,2026-05-26,,false
SKU-00102,Spill Kit 20L,ELECTRONICS,SUP-024,wh_b,WH-B-BIN-22,214.0kilogram,25,562.87,25/05/2026,,false
SKU-00103,Epoxy Resin 1L,FOOD_DRY,SUP-112,LOC-016,WH-P-BIN-23,421.0,40,716.04,2026-06-05,,false
SKU-00104,Chain Block 1T,FOOD_COLD,SUP-055,Warehouse H,WH-H-BIN-24,374.0 KG,0,548.17,Apr 05 2026,Aug 23 2026,false
SKU-00105,Temperature Logger,PACKAGING,SUP-145,LOC-018,WH-R-BIN-25,21.0kilogram,40,470.45,06/03/2026,2026-05-20,false
SKU-00106,,MACHINERY_PARTS,SUP-077,LOC-003,WH-C-BIN-26,308.0,15,717.43,2026-03-23,,false
SKU-00107,Welding Rod 3.2mm,PPE,SUP-194,LOC-013,WH-M-BIN-27,91.0kilogram,,44.85,2026-02-24,09/01/2027,false
SKU-00108,Compressed Air Hose,CLEANING,SUP-020,Warehouse H,WH-H-BIN-28,329.0kilogram,20,619.30,2026-06-08,,false
SKU-00109,First Aid Refill,MEDICAL,SUP-116,LOC-009,WH-I-BIN-29,136.0,25,544.40,2025-12-28,,false
SKU-00110,Racking Beam 2.4m,RAW_MATERIALS,SUP-022,LOC-013,WH-M-BIN-30,336.0kilogram,0,125.07,2026-01-04,2026-11-30,false
SKU-00111,Stretch Hood Film,CHEMICALS,SUP-190,wh-e,WH-E-BIN-31,182.0kg,25,356.90,07/04/2026,,true
SKU-00112,Load Cell 500kg,ELECTRONICS,SUP-048,LOC-003,WH-C-BIN-32,249.0 KG,25,284.42,May 23 2026,2026-08-30,false
SKU-00113,Dock Bumpers Pair,FOOD_DRY,SUP-154,LOC-020,WH-T-BIN-33,186.0kg,0,311.46,25/05/2026,24/04/2026,false
SKU-00114,Floor Marking Paint,FOOD_COLD,SUP-063,LOC-018,WH-R-BIN-34,13.0kg,30,216.19,09/05/2026,,false
SKU-00115,Battery Charger 24V,PACKAGING,SUP-043,LOC-003,WH-C-BIN-35,161.0,25,755.49,2026-01-06,Nov 21 2026,false
SKU-00116,Mesh Security Cage,MACHINERY_PARTS,SUP-153,LOC-016,WH-P-BIN-36,120.0kg,30,267.11,2026-01-08,03/02/2027,false
SKU-00117,Humidity Sensor Probe,PPE,SUP-085,wh_m,WH-M-BIN-37,191.0,,476.33,2026-03-31,,false
SKU-00118,Pallet Strap Tool,CLEANING,SUP-155,wh_k,WH-K-BIN-38,122.0kg,,256.67,2025-12-20,,false
SKU-00119,Coolant Concentrate,MEDICAL,SUP-148,WH-P,WH-P-BIN-39,144.0kg,0,293.28,2026-01-22,,false
SKU-00120,Wheel Chock Rubber,RAW_MATERIALS,SUP-152,WH-G,WH-G-BIN-40,112.0,30,370.37,2026-04-23,,false
SKU-00121,,CHEMICALS,SUP-075,Warehouse O,WH-O-BIN-41,7.0,25,203.64,May 07 2026,,false
SKU-00122,Hydraulic Hose 2in,ELECTRONICS,SUP-019,LOC-013,WH-M-BIN-42,326.0kilogram,25,736.47,Dec 20 2025,,false
SKU-00123,Industrial Solvent 5L,FOOD_DRY,SUP-140,LOC-014,WH-N-BIN-43,424.0kilogram,10,475.87,2026-05-25,,false
SKU-00124,Forklift Battery 24V,FOOD_COLD,SUP-197,LOC-004,WH-D-BIN-44,356.0 KG,15,451.45,Jan 01 2026,,false
SKU-00125,Safety Gloves L,PACKAGING,SUP-193,LOC-013,WH-M-BIN-45,427.0kilogram,20,179.16,Feb 03 2026,May 13 2026,false
SKU-00126,Conveyor Belt Patch,MACHINERY_PARTS,SUP-149,LOC-018,WH-R-BIN-46,314.0kilogram,40,544.29,Dec 21 2025,,false
SKU-00127,Shrink Wrap Film Roll,PPE,SUP-039,whse q,WH-Q-BIN-47,32.0kg,,70.51,2026-05-10,,false
SKU-00128,Label Printer Ribbon,CLEANING,SUP-080,LOC-012,WH-L-BIN-48,253.0kg,20,79.90,2025-12-19,,false
SKU-00129,Dock Leveler Seal,MEDICAL,SUP-082,LOC-015,WH-O-BIN-49,2.0 KG,10,519.08,2025-12-24,03/05/2026,false
SKU-00130,,RAW_MATERIALS,SUP-190,LOC-006,WH-F-BIN-50,3.0kg,15,370.72,2026-03-04,,false
SKU-00131,,CHEMICALS,SUP-048,LOC-006,WH-F-BIN-51,356.0kg,40,706.71,2026-02-20,2026-03-29,false
SKU-00132,Pallet Jack Wheel,ELECTRONICS,SUP-002,Warehouse M,WH-M-BIN-52,129.0kilogram,40,51.93,2026-05-20,,false
SKU-00133,Barcode Scanner,FOOD_DRY,SUP-048,WH-R,WH-R-BIN-53,4.0kg,20,423.12,2026-01-03,,false
SKU-00134,Fire Extinguisher 4kg,FOOD_COLD,SUP-153,LOC-011,WH-K-BIN-54,332.0 KG,25,367.37,2026-05-02,,false
SKU-00135,PVC Pipe 50mm,PACKAGING,SUP-158,LOC-010,WH-J-BIN-55,63.0kg,30,148.07,20/12/2025,Sep 13 2026,false
SKU-00136,Rubber Gasket Set,MACHINERY_PARTS,SUP-131,LOC-005,WH-E-BIN-56,234.0kilogram,25,390.36,2026-01-29,,false
SKU-00137,Cable Tie Assorted,PPE,SUP-143,wh_f,WH-F-BIN-57,270.0 KG,15,496.29,Mar 16 2026,,false
SKU-00138,Dust Mask N95 Pack,CLEANING,SUP-125,LOC-001,WH-A-BIN-58,119.0 KG,15,548.39,Mar 01 2026,,false
SKU-00139,Wooden Pallet Std,MEDICAL,SUP-126,wh_o,WH-O-BIN-59,62.0 KG,15,221.33,Jan 29 2026,01/08/2026,false
SKU-00140,Steel Shelving Unit,RAW_MATERIALS,SUP-044,LOC-010,WH-J-BIN-60,254.0,0,409.62,20/01/2026,,false
SKU-00141,Hand Truck,CHEMICALS,SUP-069,LOC-004,WH-D-BIN-61,298.0,0,35.21,23/02/2026,,false
SKU-00142,,ELECTRONICS,SUP-027,LOC-014,WH-N-BIN-62,444.0kilogram,40,27.72,2026-04-09,,false
SKU-00143,Epoxy Resin 1L,FOOD_DRY,SUP-023,LOC-012,WH-L-BIN-63,463.0kilogram,,551.93,10/01/2026,May 13 2027,false
SKU-00144,Chain Block 1T,FOOD_COLD,SUP-043,LOC-014,WH-N-BIN-64,91.0 KG,30,456.92,2026-01-30,,false
SKU-00145,Temperature Logger,PACKAGING,SUP-153,Warehouse I,WH-I-BIN-65,106.0kg,30,215.34,Feb 04 2026,,false
SKU-00146,Anti-Slip Tape Roll,MACHINERY_PARTS,SUP-035,LOC-004,WH-D-BIN-66,422.0,0,693.90,May 14 2026,May 11 2026,false
SKU-00147,Welding Rod 3.2mm,PPE,SUP-064,LOC-005,WH-E-BIN-67,384.0,15,315.38,May 10 2026,,false
SKU-00148,,CLEANING,SUP-162,LOC-019,WH-S-BIN-68,341.0kg,20,704.34,23/05/2026,,false
SKU-00149,First Aid Refill,MEDICAL,SUP-132,LOC-013,WH-M-BIN-69,162.0kg,40,391.46,2026-01-18,,false
SKU-00150,,RAW_MATERIALS,SUP-199,whse a,WH-A-BIN-70,395.0kilogram,0,508.60,Dec 19 2025,,false
SKU-00151,Stretch Hood Film,CHEMICALS,SUP-017,wh_l,WH-L-BIN-71,293.0 KG,0,396.78,Mar 25 2026,,false
SKU-00152,Load Cell 500kg,ELECTRONICS,SUP-141,LOC-011,WH-K-BIN-72,86.0kg,30,546.68,03/06/2026,,false
SKU-00153,Dock Bumpers Pair,FOOD_DRY,SUP-026,LOC-002,WH-B-BIN-73,421.0kilogram,40,686.41,23/02/2026,Feb 17 2026,false
SKU-00154,,FOOD_COLD,SUP-001,LOC-015,WH-O-BIN-74,123.0kilogram,,242.89,2026-04-06,,false
SKU-00155,Battery Charger 24V,PACKAGING,SUP-168,LOC-003,WH-C-BIN-75,6.0kilogram,20,245.80,18/12/2025,2026-03-27,false
SKU-00156,Mesh Security Cage,MACHINERY_PARTS,SUP-110,LOC-008,WH-H-BIN-76,66.0 KG,40,64.20,Jan 15 2026,15/04/2026,false
SKU-00157,Humidity Sensor Probe,PPE,SUP-133,WH-H,WH-H-BIN-77,22.0,40,339.01,13/05/2026,,false
SKU-00158,Pallet Strap Tool,CLEANING,SUP-019,LOC-016,WH-P-BIN-78,13.0kilogram,,705.03,May 11 2026,,false
SKU-00159,,MEDICAL,SUP-199,LOC-013,WH-M-BIN-79,405.0kilogram,0,56.59,22/01/2026,,false
SKU-00160,,RAW_MATERIALS,SUP-157,LOC-001,WH-A-BIN-80,104.0 KG,40,493.63,Feb 22 2026,11/02/2027,false
SKU-00161,Steel Bolt M8,CHEMICALS,SUP-023,LOC-007,WH-G-BIN-01,91.0kg,10,770.67,2026-03-27,,false
SKU-00162,Hydraulic Hose 2in,ELECTRONICS,SUP-071,LOC-008,WH-H-BIN-02,63.0,40,229.37,21/12/2025,,false
SKU-00163,Industrial Solvent 5L,FOOD_DRY,SUP-169,whse a,WH-A-BIN-03,125.0,20,517.64,Apr 15 2026,,false
SKU-00164,,FOOD_COLD,SUP-099,LOC-016,WH-P-BIN-04,143.0,10,782.20,Mar 15 2026,,false
SKU-00165,Safety Gloves L,PACKAGING,SUP-034,LOC-011,WH-K-BIN-05,460.0kg,25,139.87,Feb 15 2026,,false
SKU-00166,Conveyor Belt Patch,MACHINERY_PARTS,SUP-005,wh_c,WH-C-BIN-06,7.0kg,30,759.05,06/03/2026,08/06/2026,false
SKU-00167,Shrink Wrap Film Roll,PPE,SUP-074,LOC-017,WH-Q-BIN-07,384.0,40,67.78,29/01/2026,,false
SKU-00168,Label Printer Ribbon,CLEANING,SUP-158,LOC-018,WH-R-BIN-08,2.0kilogram,15,430.04,Mar 07 2026,2026-10-03,false
SKU-00169,,MEDICAL,SUP-163,LOC-019,WH-S-BIN-09,447.0kilogram,0,351.11,2026-04-15,,false
SKU-00170,LED Warehouse Light,RAW_MATERIALS,SUP-063,wh-b,WH-B-BIN-10,493.0kilogram,,248.81,29/12/2025,,false
SKU-00171,Nitrile Gloves Box,CHEMICALS,SUP-031,LOC-006,WH-F-BIN-11,1.0 KG,10,419.36,Apr 10 2026,,true
SKU-00172,,ELECTRONICS,SUP-192,LOC-005,WH-E-BIN-12,467.0,0,25.43,Feb 26 2026,,false
SKU-00173,,FOOD_DRY,SUP-135,LOC-009,WH-I-BIN-13,154.0kilogram,10,409.60,2026-06-01,2027-03-06,false
SKU-00174,Fire Extinguisher 4kg,FOOD_COLD,SUP-146,LOC-016,WH-P-BIN-14,13.0kg,15,578.78,2026-04-18,,false
SKU-00175,PVC Pipe 50mm,PACKAGING,SUP-001,wh_q,WH-Q-BIN-15,459.0kg,10,307.62,08/05/2026,,false
SKU-00176,Rubber Gasket Set,MACHINERY_PARTS,SUP-010,LOC-006,WH-F-BIN-16,431.0 KG,30,258.80,Mar 01 2026,,false
SKU-00177,Cable Tie Assorted,PPE,SUP-070,LOC-011,WH-K-BIN-17,59.0,0,44.03,2026-04-19,,false
SKU-00178,Dust Mask N95 Pack,CLEANING,SUP-012,whse q,WH-Q-BIN-18,55.0,25,249.94,24/05/2026,,false
SKU-00179,Wooden Pallet Std,MEDICAL,SUP-117,LOC-018,WH-R-BIN-19,208.0kilogram,10,498.93,2026-02-17,,false
SKU-00180,Steel Shelving Unit,RAW_MATERIALS,SUP-152,LOC-012,WH-L-BIN-20,415.0kg,,637.19,08/05/2026,,false
SKU-00181,Hand Truck,CHEMICALS,SUP-105,LOC-001,WH-A-BIN-21,139.0kilogram,10,760.89,Jun 15 2026,,false
SKU-00182,Spill Kit 20L,ELECTRONICS,SUP-189,wh-m,WH-M-BIN-22,34.0kg,40,769.03,10/05/2026,,false
SKU-00183,Epoxy Resin 1L,FOOD_DRY,SUP-024,LOC-009,WH-I-BIN-23,491.0kilogram,10,716.67,18/02/2026,,false
SKU-00184,Chain Block 1T,FOOD_COLD,SUP-149,LOC-003,WH-C-BIN-24,7.0kilogram,10,51.70,Dec 28 2025,2026-04-04,false
SKU-00185,Temperature Logger,PACKAGING,SUP-061,Warehouse E,WH-E-BIN-25,153.0,20,665.86,2026-03-24,,false
SKU-00186,,MACHINERY_PARTS,SUP-116,LOC-011,WH-K-BIN-26,7.0kg,,88.96,May 19 2026,,false
SKU-00187,Welding Rod 3.2mm,PPE,SUP-116,LOC-006,WH-F-BIN-27,180.0kg,25,167.69,2026-03-29,,false
SKU-00188,Compressed Air Hose,CLEANING,SUP-068,LOC-015,WH-O-BIN-28,5.0kg,29,685.55,09/05/2026,Mar 01 2026,false
SKU-00189,First Aid Refill,MEDICAL,SUP-183,LOC-003,WH-C-BIN-29,202.0kilogram,15,209.61,May 02 2026,08/05/2026,false
SKU-00190,Racking Beam 2.4m,RAW_MATERIALS,SUP-104,whse a,WH-A-BIN-30,251.0kg,,77.59,2026-05-20,,false
SKU-00191,,CHEMICALS,SUP-032,LOC-005,WH-E-BIN-31,51.0kg,10,299.05,Jan 05 2026,06/02/2027,false
SKU-00192,Load Cell 500kg,ELECTRONICS,SUP-150,LOC-003,WH-C-BIN-32,152.0,30,159.80,Jan 01 2026,2026-06-07,false
