txn_id,sku,location_id,txn_type,quantity_kg,unit_cost_myr,operator_id,timestamp,reference_doc
TXN-200106,SKU-00354,LOC-002,IN,12.0kilogram,507.81,OP-022,2026-06-09T11:12:26,DOC-2935
TXN-200107,SKU-00472,LOC-012,OUT,128.0,90.90,OP-003,2026-06-17T04:12:26,DOC-4086
TXN-200108,SKU-00197,LOC-017,ADJUST,28.0kilogram,342.07,OP-027,2026-06-12T21:12:26,
TXN-200109,SKU-00411,LOC-020,IN,52.0kg,125.76,OP-050,2026-06-06T19:12:26,
TXN-200110,SKU-00132,LOC-001,OUT,7.0kg,793.07,OP-024,2026-06-14T00:12:26,
TXN-200111,SKU-00223,LOC-010,IN,52.0kilogram,560.61,OP-007,2026-05-29T00:12:26,DOC-5709
TXN-200112,SKU-00393,LOC-020,IN,45.0,175.08,OP-040,2026-06-22T06:12:26,DOC-1857
TXN-200113,SKU-00056,LOC-015,IN,188.0kilogram,625.11,OP-021,2026-06-11T12:12:26,DOC-5798
TXN-200114,SKU-00336,LOC-017,IN,43.0kilogram,62.05,OP-036,2026-06-25T02:12:26,
TXN-200115,SKU-00434,LOC-006,IN,65.0kilogram,227.87,OP-025,2026-06-05T04:12:26,DOC-2209
TXN-200116,SKU-00050,LOC-015,OUT,82.0kilogram,520.84,OP-013,2026-06-20T23:12:26,DOC-2646
TXN-200117,SKU-00392,LOC-010,OUT,141.0kg,679.60,OP-036,2026-05-30T23:12:26,
TXN-200118,SKU-00269,LOC-014,IN,129.0,472.94,OP-009,2026-06-20T14:12:26,DOC-3219
TXN-200119,SKU-00255,LOC-003,ADJUST,69.0kilogram,312.69,OP-024,2026-06-08T07:12:26,DOC-1289
TXN-200120,SKU-00034,LOC-010,OUT,122.0kilogram,403.96,OP-003,2026-06-24T21:12:26,DOC-5997
TXN-200121,SKU-00367,LOC-016,OUT,78.0 KG,610.52,OP-041,2026-05-29T22:12:26,DOC-1581
TXN-200122,SKU-00169,LOC-003,IN,190.0kg,208.11,OP-010,2026-05-29T09:12:26,DOC-2591
TXN-200123,SKU-00111,LOC-008,WRITE_OFF,57.0kilogram,568.75,OP-002,2026-06-10T21:12:26,DOC-9057
TXN-200124,SKU-00205,LOC-019,IN,199.0 KG,318.01,OP-036,2026-06-17T09:12:26,
TXN-200125,SKU-00307,LOC-005,OUT,31.0kg,757.38,OP-049,2026-06-09T02:12:26,DOC-5076
TXN-200126,SKU-00347,LOC-012,OUT,72.0 KG,361.84,OP-041,2026-06-24T14:12:26,DOC-4345
TXN-200127,SKU-00470,LOC-010,IN,89.0kg,115.08,OP-046,2026-06-24T16:12:26,
TXN-200128,SKU-00359,LOC-010,IN,5.0 KG,600.44,OP-005,2026-06-17T02:12:26,
TXN-200129,SKU-00174,LOC-017,IN,25.0,81.70,OP-018,2026-05-28T04:12:26,
TXN-200130,SKU-00226,LOC-012,IN,142.0kg,198.44,OP-035,2026-06-04T09:12:26,
TXN-200131,SKU-00413,LOC-015,OUT,13.0,335.05,OP-001,2026-06-03T07:12:26,DOC-8934
TXN-200132,SKU-00313,LOC-002,IN,65.0 KG,165.38,OP-029,2026-06-02T12:12:26,DOC-8388
TXN-200133,SKU-00319,LOC-009,WRITE_OFF,38.0,480.40,OP-050,2026-06-18T13:12:26,
TXN-200134,SKU-00328,LOC-018,WRITE_OFF,154.0 KG,343.95,OP-002,2026-06-05T16:12:26,
TXN-200135,SKU-00146,LOC-002,IN,21.0 KG,411.71,OP-029,2026-06-11T01:12:26,DOC-2605
TXN-200136,SKU-00159,LOC-013,OUT,100.0kg,56.59,OP-028,2026-06-18T06:12:26,
TXN-200137,SKU-00494,LOC-015,WRITE_OFF,90.0kilogram,47.84,OP-017,2026-06-05T23:12:26,DOC-8523
TXN-200138,SKU-00225,LOC-005,IN,38.0kilogram,410.88,OP-019,2026-05-28T08:12:26,DOC-9984
TXN-200139,SKU-00122,LOC-013,IN,18.0 KG,736.47,OP-034,2026-05-28T22:12:26,DOC-9567
TXN-200140,SKU-00149,LOC-002,WRITE_OFF,199.0,303.75,OP-032,2026-06-06T10:12:26,DOC-9859
TXN-200141,SKU-00192,LOC-005,ADJUST,2.0,34.00,OP-027,2026-06-24T15:12:26,
TXN-200142,SKU-00331,LOC-004,OUT,172.0kilogram,470.73,OP-038,2026-06-17T14:12:26,DOC-5726
TXN-200143,SKU-00093,LOC-007,OUT,112.0,413.75,OP-019,2026-06-06T22:12:26,
TXN-200144,SKU-00037,LOC-019,IN,60.0,759.06,OP-021,2026-06-08T20:12:26,DOC-7722
TXN-200145,SKU-00485,LOC-015,ADJUST,24.0 KG,350.61,OP-028,2026-06-16T07:12:26,
TXN-200146,SKU-00171,LOC-006,IN,4.0,419.36,OP-033,2026-06-24T00:12:26,DOC-4898
TXN-200147,SKU-00288,LOC-003,IN,60.0kg,83.00,OP-030,2026-06-11T03:12:26,DOC-1551
TXN-200148,SKU-00032,LOC-018,OUT,199.0 KG,307.33,OP-015,2026-06-20T10:12:26,DOC-8383
TXN-200149,SKU-00037,LOC-015,IN,129.0kilogram,42.27,OP-046,2026-05-30T12:12:26,DOC-1570
TXN-200150,SKU-00323,LOC-015,IN,172.0kg,443.18,OP-042,2026-06-18T02:12:26,
TXN-200151,SKU-00248,LOC-014,ADJUST,115.0kg,626.20,OP-019,2026-06-01T14:12:26,DOC-6536
TXN-200152,SKU-00168,LOC-005,OUT,53.0kg,203.98,OP-030,2026-06-20T15:12:26,DOC-8082
TXN-200153,SKU-00296,LOC-013,OUT,52.0kilogram,371.09,OP-046,2026-06-23T00:12:26,DOC-8609
TXN-200154,SKU-00034,LOC-011,IN,64.0kilogram,155.74,OP-006,2026-06-25T01:12:26,DOC-6638
TXN-200155,SKU-00205,LOC-002,OUT,4.0kg,451.81,OP-032,2026-06-22T12:12:26,DOC-6665
TXN-200156,SKU-00488,LOC-005,OUT,49.0,192.14,OP-016,2026-05-29T00:12:26,DOC-5000
TXN-200157,SKU-00487,LOC-018,IN,45.0 KG,95.55,OP-005,2026-06-08T11:12:26,DOC-1735
TXN-200158,SKU-00172,LOC-019,OUT,80.0 KG,747.17,OP-039,2026-06-17T01:12:26,DOC-8941
TXN-200159,SKU-00420,LOC-010,ADJUST,6.0kilogram,602.15,OP-037,2026-06-09T19:12:26,DOC-1454
TXN-200160,SKU-00238,LOC-019,IN,145.0 KG,229.06,OP-006,2026-06-22T05:12:26,DOC-7159
TXN-200161,SKU-00110,LOC-017,OUT,59.0,126.42,OP-041,2026-06-14T04:12:26,DOC-3550
TXN-200162,SKU-00043,LOC-004,OUT,171.0,442.15,OP-029,2026-06-07T02:12:26,DOC-9129
TXN-200163,SKU-00132,LOC-012,OUT,126.0 KG,720.37,OP-011,2026-06-09T12:12:26,DOC-3348
TXN-200164,SKU-00373,LOC-003,IN,55.0kg,552.47,OP-045,2026-06-19T04:12:26,DOC-9587
TXN-200165,SKU-00148,LOC-003,IN,98.0 KG,4.79,OP-030,2026-06-16T00:12:26,
TXN-200166,SKU-00500,LOC-001,OUT,5.0 KG,564.97,OP-006,2026-06-15T18:12:26,DOC-9397
TXN-200167,SKU-00493,LOC-010,OUT,50.0kilogram,627.94,OP-001,2026-06-12T05:12:26,DOC-6618
TXN-200168,SKU-00429,LOC-014,IN,50.0 KG,739.29,OP-027,2026-06-08T01:12:26,DOC-2287
TXN-200169,SKU-00263,LOC-017,IN,149.0kilogram,751.40,OP-048,2026-06-18T04:12:26,
TXN-200170,SKU-00473,LOC-016,WRITE_OFF,54.0,417.63,OP-007,2026-06-05T16:12:26,
TXN-200171,SKU-00151,LOC-002,OUT,92.0 KG,355.47,OP-017,2026-06-11T01:12:26,DOC-9226
TXN-200172,SKU-00364,LOC-008,IN,166.0kg,212.15,OP-021,2026-06-19T06:12:26,DOC-1562
TXN-200173,SKU-00181,LOC-006,IN,134.0,395.32,OP-048,2026-06-22T18:12:26,DOC-8670
TXN-200174,SKU-00101,LOC-013,IN,90.0kilogram,389.20,OP-045,2026-06-02T03:12:26,DOC-6490
TXN-200175,SKU-00269,LOC-015,OUT,175.0,734.13,OP-026,2026-05-29T07:12:26,DOC-3938
TXN-200176,SKU-00333,LOC-010,IN,121.0kg,727.92,OP-038,2026-06-09T02:12:26,DOC-9413
TXN-200177,SKU-00215,LOC-016,OUT,33.0kg,127.37,OP-017,2026-06-07T06:12:26,
TXN-200178,SKU-00295,LOC-020,OUT,134.0kilogram,306.20,OP-050,2026-06-13T18:12:26,DOC-5676
TXN-200179,SKU-00138,LOC-001,IN,163.0kilogram,541.44,OP-018,2026-06-20T13:12:26,DOC-8187
TXN-200180,SKU-00083,LOC-011,OUT,187.0 KG,235.86,OP-002,2026-06-10T03:12:26,DOC-6670
TXN-200181,SKU-00139,LOC-011,OUT,173.0kilogram,400.02,OP-024,2026-06-13T01:12:26,DOC-2881
TXN-200182,SKU-00478,LOC-015,IN,28.0,21.86,OP-025,2026-06-02T06:12:26,
TXN-200183,SKU-00439,LOC-018,OUT,138.0 KG,6.64,OP-036,2026-06-02T02:12:26,DOC-8216
TXN-200184,SKU-00165,LOC-002,IN,193.0kg,599.58,OP-035,2026-06-11T15:12:26,DOC-9165
TXN-200185,SKU-00395,LOC-018,OUT,159.0,19.68,OP-047,2026-06-18T08:12:26,
TXN-200186,SKU-00109,LOC-012,OUT,26.0 KG,112.94,OP-026,2026-05-30T11:12:26,DOC-2366
TXN-200187,SKU-00285,LOC-019,ADJUST,181.0kg,223.81,OP-034,2026-06-01T01:12:26,DOC-8022
TXN-200188,SKU-00088,LOC-006,IN,75.0kilogram,262.23,OP-020,2026-06-12T13:12:26,
TXN-200189,SKU-00004,LOC-005,IN,36.0kilogram,307.09,OP-027,2026-06-11T00:12:26,DOC-2608
TXN-200190,SKU-00235,LOC-020,IN,92.0kg,277.56,OP-012,2026-06-02T15:12:26,DOC-3308
TXN-200191,SKU-00285,LOC-004,OUT,53.0kilogram,679.48,OP-038,2026-06-18T08:12:26,
TXN-200192,SKU-00163,LOC-003,OUT,64.0kg,5.26,OP-002,2026-06-25T10:12:26,DOC-2388
TXN-200193,SKU-00488,LOC-018,OUT,73.0,123.11,OP-021,2026-05-27T12:12:26,DOC-9305
TXN-200194,SKU-00465,LOC-016,IN,184.0 KG,2.46,OP-013,2026-06-20T04:12:26,DOC-1066
TXN-200195,SKU-00321,LOC-019,OUT,141.0kilogram,498.86,OP-027,2026-05-30T04:12:26,DOC-8970
TXN-200196,SKU-00397,LOC-004,OUT,64.0kg,66.09,OP-037,2026-06-20T15:12:26,DOC-4155
TXN-200197,SKU-00268,LOC-015,OUT,48.0,204.71,OP-015,2026-05-27T09:12:26,DOC-1552
TXN-200198,SKU-00309,LOC-016,IN,57.0kilogram,186.84,OP-026,2026-06-20T12:12:26,DOC-3144
TXN-200199,SKU-00175,LOC-012,WRITE_OFF,16.0,757.85,OP-016,2026-06-05T06:12:26,DOC-8491
TXN-200200,SKU-00032,LOC-006,OUT,17.0kilogram,226.88,OP-029,2026-06-25T02:12:26,DOC-9573
TXN-200201,SKU-00176,LOC-008,IN,108.0 KG,88.26,OP-037,2026-06-10T12:12:26,
TXN-200202,SKU-00359,LOC-006,IN,29.0kg,549.68,OP-019,2026-06-11T08:12:26,DOC-2092
TXN-200203,SKU-00253,LOC-018,ADJUST,174.0kg,717.68,OP-012,2026-06-06T05:12:26,DOC-1416
TXN-200204,SKU-00136,LOC-004,IN,125.0 KG,456.50,OP-017,2026-06-13T11:12:26,DOC-6676
TXN-200205,SKU-00016,LOC-011,OUT,131.0kg,599.04,OP-005,2026-06-23T22:12:26,
TXN-200206,SKU-00118,LOC-004,IN,148.0kg,779.39,OP-024,2026-06-19T10:12:26,DOC-7143
TXN-200207,SKU-00174,LOC-006,IN,86.0kilogram,791.35,OP-004,2026-06-01T05:12:26,DOC-5814
TXN-200208,SKU-00098,LOC-020,OUT,152.0kilogram,590.59,OP-011,2026-06-05T13:12:26,
TXN-200209,SKU-00255,LOC-011,IN,54.0kg,633.42,OP-017,2026-06-04T12:12:26,DOC-1556
TXN-200210,SKU-00306,LOC-015,IN,39.0,748.53,OP-022,2026-06-09T08:12:26,DOC-4257
TXN-200211,SKU-00316,LOC-007,OUT,77.0kilogram,612.76,OP-033,2026-06-11T05:12:26,
TXN-200212,SKU-00107,LOC-019,OUT,79.0 KG,556.01,OP-042,2026-06-15T01:12:26,DOC-3122
TXN-200213,SKU-00250,LOC-009,OUT,69.0kilogram,273.26,OP-026,2026-06-25T05:12:26,DOC-1009
TXN-200214,SKU-00177,LOC-020,OUT,195.0kilogram,328.30,OP-042,2026-06-10T21:12:26,
TXN-200215,SKU-00184,LOC-005,IN,145.0 KG,488.30,OP-046,2026-06-22T11:12:26,DOC-9565
TXN-200216,SKU-00221,LOC-017,OUT,170.0 KG,180.23,OP-008,2026-05-31T15:12:26,DOC-3963
TXN-200217,SKU-00469,LOC-008,OUT,2.0 KG,229.36,OP-027,2026-06-01T17:12:26,DOC-3788
TXN-200218,SKU-00226,LOC-016,ADJUST,160.0 KG,567.27,OP-023,2026-06-05T07:12:26,
TXN-200219,SKU-00035,LOC-010,OUT,88.0kg,568.87,OP-025,2026-06-04T10:12:26,DOC-6335
TXN-200220,SKU-00166,LOC-008,OUT,162.0 KG,670.67,OP-037,2026-06-13T15:12:26,DOC-3132
TXN-200221,SKU-00110,LOC-014,OUT,31.0kilogram,405.14,OP-048,2026-06-04T22:12:26,
TXN-200222,SKU-00080,LOC-004,IN,112.0kilogram,754.34,OP-044,2026-06-13T06:12:26,DOC-1934
TXN-200223,SKU-00311,LOC-008,OUT,17.0kilogram,696.92,OP-029,2026-05-29T22:12:26,DOC-7261
TXN-200224,SKU-00164,LOC-006,ADJUST,148.0,111.70,OP-050,2026-05-29T01:12:26,DOC-6897
TXN-200225,SKU-00271,LOC-018,ADJUST,103.0kilogram,755.63,OP-011,2026-06-02T20:12:26,DOC-1447
TXN-200226,SKU-00482,LOC-015,OUT,151.0kg,112.69,OP-003,2026-06-04T17:12:26,DOC-4520
TXN-200227,SKU-00070,LOC-007,IN,127.0kg,51.02,OP-005,2026-06-18T03:12:26,DOC-6009
TXN-200228,SKU-00497,LOC-014,OUT,67.0kilogram,365.04,OP-028,2026-06-22T21:12:26,DOC-7310
TXN-200229,SKU-00086,LOC-017,OUT,150.0,736.34,OP-003,2026-06-17T21:12:26,DOC-7414
TXN-200230,SKU-00014,LOC-018,OUT,41.0kg,64.41,OP-049,2026-06-22T12:12:26,
TXN-200231,SKU-00359,LOC-006,OUT,20.0kg,549.68,OP-019,2026-06-23T21:12:26,DOC-1170
TXN-200232,SKU-00290,LOC-014,IN,72.0,438.91,OP-024,2026-06-04T22:12:26,DOC-9264
TXN-200233,SKU-00389,LOC-009,ADJUST,128.0,194.59,OP-025,2026-06-15T20:12:26,
TXN-200234,SKU-00014,LOC-020,OUT,9.0kg,503.71,OP-040,2026-05-31T10:12:26,DOC-9659
TXN-200235,SKU-00353,LOC-004,IN,1.0,169.84,OP-008,2026-06-19T03:12:26,DOC-7891
TXN-200236,SKU-00112,LOC-002,ADJUST,33.0 KG,430.53,OP-019,2026-06-23T08:12:26,DOC-9922
TXN-200237,SKU-00198,LOC-016,ADJUST,124.0kilogram,360.58,OP-034,2026-06-04T16:12:26,DOC-8957
TXN-200238,SKU-00011,LOC-015,OUT,85.0kg,363.76,OP-022,2026-06-25T14:12:26,
TXN-200239,SKU-00087,LOC-008,OUT,7.0,105.32,OP-032,2026-06-07T13:12:26,DOC-6727
