shipment_id,sku,supplier_id,destination_location_id,quantity_kg,status,expected_arrival,actual_arrival,carrier,tracking_number,cost_myr
SHP-100034,SKU-00189,SUP-144,LOC-014,357,DELAYED,2026-07-27,,DHL MY,TRK9686790016,1989.23
SHP-100035,SKU-00410,SUP-028,LOC-009,461,DELAYED,2026-07-23,,DHL MY,TRK2952011578,2786.95
SHP-100036,SKU-00038,SUP-163,LOC-011,300,DELAYED,2026-07-23,,DHL MY,TRK9546623838,3233.75
SHP-100037,SKU-00468,SUP-089,LOC-003,337,DELAYED,2026-07-27,,Pos Laju,TRK9435403787,1117.29
SHP-100038,SKU-00428,SUP-101,LOC-003,150,DELAYED,2026-07-21,,DHL MY,TRK3144706898,4861.38
SHP-100039,SKU-00223,SUP-116,LOC-019,353,DELAYED,2026-07-23,,TNT Malaysia,TRK6941583315,2937.47
SHP-100040,SKU-00413,SUP-128,LOC-010,350,DELAYED,2026-07-29,,J&T Express,TRK6269851897,242.86
SHP-100041,SKU-00117,SUP-163,LOC-004,230,DELAYED,2026-07-21,,TNT Malaysia,TRK8894871946,611.67
SHP-100042,SKU-00046,SUP-081,LOC-016,425,DELAYED,2026-07-26,,City-Link,TRK5546033669,296.82
SHP-100043,SKU-00466,SUP-151,LOC-002,226,DELAYED,2026-07-28,,DHL MY,TRK9424142669,4621.17
SHP-100044,SKU-00332,SUP-130,LOC-015,94,DELAYED,2026-07-27,,GDEX,TRK3113681000,372.40
SHP-100045,SKU-00453,SUP-045,LOC-017,302,DELAYED,2026-07-24,,DHL MY,TRK5061811733,3784.15
SHP-100046,SKU-00357,SUP-012,LOC-002,357,DELAYED,2026-07-22,,DHL MY,TRK2927346448,2139.41
SHP-100047,SKU-00488,SUP-109,LOC-012,375,DELAYED,2026-07-26,,TNT Malaysia,TRK5153076614,410.88
SHP-100048,SKU-00297,SUP-055,LOC-018,388,DELAYED,2026-07-21,,City-Link,TRK8240250430,1498.73
SHP-100049,SKU-00268,SUP-071,LOC-013,356,DELAYED,2026-07-23,,Pos Laju,TRK2508370948,55.72
SHP-100050,SKU-00491,SUP-089,LOC-013,468,DELAYED,2026-07-25,,GDEX,TRK1215082583,1338.73
SHP-100051,SKU-00121,SUP-178,LOC-016,278,DELAYED,2026-07-24,,City-Link,TRK3656691094,792.68
SHP-100052,SKU-00113,SUP-190,LOC-005,479,DELAYED,2026-07-24,,City-Link,TRK7235355255,3226.43
SHP-100053,SKU-00460,SUP-035,LOC-009,264,DELAYED,2026-07-29,,TNT Malaysia,TRK5039361500,1093.87
SHP-100054,SKU-00360,SUP-001,LOC-005,244,DELAYED,2026-07-22,,GDEX,TRK3145650671,1438.87
SHP-100055,SKU-00277,SUP-107,LOC-014,496,DELAYED,2026-07-30,,TNT Malaysia,TRK3396741601,4007.14
SHP-100056,SKU-00219,SUP-037,LOC-013,252,DELAYED,2026-07-24,,Pos Laju,TRK1630664206,251.57
SHP-100057,SKU-00251,SUP-130,LOC-011,314,DELAYED,2026-07-25,,DHL MY,TRK3316631273,3751.36
SHP-100058,SKU-00308,SUP-105,LOC-004,284,DELAYED,2026-07-25,,TNT Malaysia,TRK6259851903,4002.69
SHP-100059,SKU-00067,SUP-043,LOC-006,197,DELAYED,2026-07-22,,Pos Laju,TRK3941439708,739.90
SHP-100060,SKU-00447,SUP-182,LOC-001,452,DELAYED,2026-07-30,,DHL MY,TRK9274798157,4160.22
SHP-100061,SKU-00142,SUP-067,LOC-019,462,DELAYED,2026-07-27,,City-Link,TRK9898401999,1367.20
SHP-100062,SKU-00052,SUP-038,LOC-018,159,DELAYED,2026-07-23,,Pos Laju,TRK6186742914,1592.71
SHP-100063,SKU-00493,SUP-172,LOC-004,224,DELAYED,2026-07-24,,J&T Express,TRK2711245616,483.41
SHP-100064,SKU-00395,SUP-150,LOC-008,10,DELAYED,2026-07-25,,Pos Laju,TRK7817261310,4059.32
SHP-100065,SKU-00173,SUP-196,LOC-002,205,DELAYED,2026-07-29,,City-Link,TRK7683890972,792.69
SHP-100066,SKU-00258,SUP-174,LOC-016,342,DELAYED,2026-07-25,,Pos Laju,TRK4132749632,3118.97
SHP-100067,SKU-00441,SUP-138,LOC-017,313,DELAYED,2026-07-30,,Pos Laju,TRK6457130250,3152.11
SHP-100068,SKU-00217,SUP-171,LOC-013,445,DELAYED,2026-07-21,,Pos Laju,TRK2043998107,1391.79
SHP-100069,SKU-00311,SUP-023,LOC-002,36,DELAYED,2026-07-21,,City-Link,TRK5982497165,1174.97
SHP-100070,SKU-00141,SUP-113,LOC-018,256,DELAYED,2026-07-24,,GDEX,TRK6092830938,581.99
SHP-100071,SKU-00301,SUP-086,LOC-013,496,DELAYED,2026-07-27,,DHL MY,TRK2341082060,320.32
SHP-100072,SKU-00329,SUP-091,LOC-019,86,DELAYED,2026-07-28,,GDEX,TRK9054842306,1311.27
SHP-100073,SKU-00060,SUP-008,LOC-009,441,DELAYED,2026-07-29,,City-Link,TRK1549579246,310.77
SHP-100074,SKU-00042,SUP-099,LOC-016,424,DELAYED,2026-07-26,,DHL MY,TRK2660672840,2781.12
SHP-100075,SKU-00005,SUP-044,LOC-018,357,DELAYED,2026-07-25,,DHL MY,TRK5805308144,1135.91
SHP-100076,SKU-00062,SUP-030,LOC-003,184,DELAYED,2026-07-26,,J&T Express,TRK4161010771,3910.52
SHP-100077,SKU-00132,SUP-045,LOC-017,287,DELAYED,2026-07-30,,J&T Express,TRK9398130062,4701.79
SHP-100078,SKU-00018,SUP-127,LOC-017,119,DELAYED,2026-07-25,,DHL MY,TRK8380807918,2239.59
SHP-100079,SKU-00108,SUP-068,LOC-005,242,DELAYED,2026-07-25,,Pos Laju,TRK4207481343,2182.49
SHP-100080,SKU-00341,SUP-149,LOC-012,18,DELAYED,2026-07-23,,J&T Express,TRK4125626865,3957.94
SHP-100081,SKU-00020,SUP-041,LOC-019,367,DELAYED,2026-07-26,,J&T Express,TRK4572245480,3656.07
SHP-100082,SKU-00175,SUP-167,LOC-003,97,DELAYED,2026-07-30,,TNT Malaysia,TRK5601320050,2471.37
SHP-100083,SKU-00222,SUP-047,LOC-016,79,DELAYED,2026-07-28,,TNT Malaysia,TRK2256150180,237.40
SHP-100084,SKU-00357,SUP-042,LOC-014,110,DELAYED,2026-07-22,,Pos Laju,TRK3360508113,4180.24
SHP-100085,SKU-00154,SUP-023,LOC-019,331,DELAYED,2026-07-27,,Pos Laju,TRK9153540101,4224.14
SHP-100086,SKU-00335,SUP-064,LOC-011,366,DELAYED,2026-07-29,,DHL MY,TRK3551622109,1187.42
SHP-100087,SKU-00040,SUP-021,LOC-008,78,DELAYED,2026-07-23,,DHL MY,TRK2981327592,1091.38
SHP-100088,SKU-00001,SUP-078,LOC-002,245,DELAYED,2026-07-22,,TNT Malaysia,TRK4850627294,3720.84
SHP-100089,SKU-00057,SUP-190,LOC-001,320,DELAYED,2026-07-23,,J&T Express,TRK2209981603,3604.21
SHP-100090,SKU-00245,SUP-189,LOC-015,276,DELAYED,2026-07-23,,City-Link,TRK5935690056,1267.01
SHP-100091,SKU-00193,SUP-159,LOC-019,170,DELAYED,2026-07-22,,City-Link,TRK5073894638,1167.63
SHP-100092,SKU-00107,SUP-161,LOC-015,280,DELAYED,2026-07-26,,TNT Malaysia,TRK8061482723,4052.81
SHP-100093,SKU-00495,SUP-092,LOC-019,348,DELAYED,2026-07-28,,GDEX,TRK6176208336,1314.78
SHP-100094,SKU-00436,SUP-184,LOC-012,493,DELAYED,2026-07-22,,City-Link,TRK8700289788,4576.19
SHP-100095,SKU-00077,SUP-135,LOC-017,232,DELAYED,2026-07-29,,Pos Laju,TRK5280503909,4465.66
SHP-100096,SKU-00216,SUP-071,LOC-015,46,DELAYED,2026-07-27,,City-Link,TRK7156210173,3387.40
SHP-100097,SKU-00314,SUP-144,LOC-001,427,DELAYED,2026-07-28,,City-Link,TRK6372539660,4327.47
SHP-100098,SKU-00189,SUP-061,LOC-011,65,DELAYED,2026-07-22,,TNT Malaysia,TRK6260070169,989.89
SHP-100099,SKU-00275,SUP-135,LOC-016,10,DELAYED,2026-07-29,,TNT Malaysia,TRK5019628177,3975.85
SHP-100100,SKU-00239,SUP-156,LOC-004,135,DELAYED,2026-07-23,,City-Link,TRK1865572377,2124.18
SHP-100101,SKU-00470,SUP-179,LOC-003,203,DELAYED,2026-07-29,,City-Link,TRK3645190427,3580.82
SHP-100102,SKU-00155,SUP-013,LOC-016,179,DELAYED,2026-07-26,,Pos Laju,TRK6913007233,4167.54
SHP-100103,SKU-00210,SUP-062,LOC-006,38,DELAYED,2026-07-24,,DHL MY,TRK1058734940,2420.02
SHP-100104,SKU-00243,SUP-076,LOC-017,142,DELAYED,2026-07-28,,J&T Express,TRK9256487788,640.76
SHP-100105,SKU-00286,SUP-098,LOC-002,427,DELAYED,2026-07-26,,J&T Express,TRK4918588246,3453.32
SHP-100106,SKU-00201,SUP-123,LOC-017,278,DELAYED,2026-07-25,,TNT Malaysia,TRK1875234668,3643.09
SHP-100107,SKU-00208,SUP-171,LOC-011,473,DELAYED,2026-07-25,,Pos Laju,TRK2012410919,1170.82
SHP-100108,SKU-00188,SUP-191,LOC-014,105,DELAYED,2026-07-26,,GDEX,TRK2050974589,1415.50
SHP-100109,SKU-00324,SUP-090,LOC-008,320,DELAYED,2026-07-24,,J&T Express,TRK4401835045,3301.85
SHP-100110,SKU-00173,SUP-124,LOC-016,162,DELAYED,2026-07-30,,GDEX,TRK9577675657,4287.93
SHP-100111,SKU-00222,SUP-141,LOC-017,243,DELAYED,2026-07-28,,Pos Laju,TRK8461720259,3635.56
SHP-100112,SKU-00060,SUP-107,LOC-011,380,DELAYED,2026-07-25,,GDEX,TRK2120235254,4373.65
SHP-100113,SKU-00197,SUP-111,LOC-016,384,DELAYED,2026-07-26,,City-Link,TRK8274530390,4654.66
SHP-100114,SKU-00039,SUP-107,LOC-001,307,DELAYED,2026-07-21,,TNT Malaysia,TRK2287756575,1733.33
SHP-100115,SKU-00324,SUP-049,LOC-017,7,DELAYED,2026-07-27,,TNT Malaysia,TRK1129262174,535.31
SHP-100116,SKU-00252,SUP-126,LOC-018,295,DELAYED,2026-07-27,,DHL MY,TRK4122124221,3657.83
SHP-100117,SKU-00347,SUP-178,LOC-002,499,DELAYED,2026-07-25,,J&T Express,TRK6761457794,4436.58
SHP-100118,SKU-00347,SUP-138,LOC-007,213,DELAYED,2026-07-29,,TNT Malaysia,TRK1204755015,2748.11
SHP-100119,SKU-00095,SUP-149,LOC-003,351,DELAYED,2026-07-24,,City-Link,TRK5192112725,3466.76
SHP-100120,SKU-00056,SUP-139,LOC-011,386,DELAYED,2026-07-25,,Pos Laju,TRK2333234887,1516.67
SHP-100121,SKU-00149,SUP-062,LOC-016,418,DELAYED,2026-07-27,,Pos Laju,TRK7566634271,2956.59
SHP-100122,SKU-00311,SUP-017,LOC-010,89,DELAYED,2026-07-28,,DHL MY,TRK6638244060,2061.69
SHP-100123,SKU-00332,SUP-109,LOC-008,493,DELAYED,2026-07-30,,GDEX,TRK6253032575,776.70
SHP-100124,SKU-00473,SUP-128,LOC-003,460,DELAYED,2026-07-28,,Pos Laju,TRK3397157286,4791.32
SHP-100125,SKU-00386,SUP-064,LOC-003,42,DELAYED,2026-07-25,,Pos Laju,TRK5960819559,475.10
SHP-100126,SKU-00145,SUP-165,LOC-012,240,DELAYED,2026-07-26,,TNT Malaysia,TRK7764136701,3355.31
SHP-100127,SKU-00121,SUP-097,LOC-011,23,DELAYED,2026-07-27,,DHL MY,TRK6392694593,2904.64
SHP-100128,SKU-00118,SUP-104,LOC-015,376,DELAYED,2026-07-25,,City-Link,TRK6143125338,3965.96
SHP-100129,SKU-00215,SUP-084,LOC-009,170,DELAYED,2026-07-21,,City-Link,TRK3048051496,1279.06
SHP-100130,SKU-00081,SUP-058,LOC-002,55,DELAYED,2026-07-23,,J&T Express,TRK8162355327,4070.47
SHP-100131,SKU-00242,SUP-073,LOC-008,131,DELAYED,2026-07-25,,TNT Malaysia,TRK9972866228,1476.22
SHP-100132,SKU-00034,SUP-028,LOC-001,181,DELAYED,2026-07-21,,GDEX,TRK5516421173,3335.73
SHP-100133,SKU-00227,SUP-138,LOC-004,55,DELAYED,2026-07-26,,City-Link,TRK6954624896,2109.71
SHP-100134,SKU-00491,SUP-116,LOC-008,328,DELAYED,2026-07-30,,City-Link,TRK8127986461,1015.92
SHP-100135,SKU-00321,SUP-021,LOC-012,496,DELAYED,2026-07-25,,GDEX,TRK8988826688,1790.04
SHP-100136,SKU-00166,SUP-190,LOC-014,353,DELAYED,2026-07-28,,DHL MY,TRK6585706285,3826.63
SHP-100137,SKU-00381,SUP-010,LOC-013,162,DELAYED,2026-07-23,,DHL MY,TRK9596180159,4751.40
SHP-100138,SKU-00248,SUP-098,LOC-005,196,DELAYED,2026-07-27,,DHL MY,TRK5716537948,551.09
SHP-100139,SKU-00292,SUP-095,LOC-018,34,DELAYED,2026-07-30,,City-Link,TRK8743507369,1709.01
SHP-100140,SKU-00064,SUP-065,LOC-018,143,DELAYED,2026-07-25,,TNT Malaysia,TRK8982787012,4534.95
SHP-100141,SKU-00468,SUP-120,LOC-019,224,DELAYED,2026-07-25,,Pos Laju,TRK1689084202,1494.07
SHP-100142,SKU-00372,SUP-194,LOC-003,96,DELAYED,2026-07-28,,DHL MY,TRK2261606601,3163.11
SHP-100143,SKU-00473,SUP-124,LOC-001,372,DELAYED,2026-07-21,,City-Link,TRK1732992232,536.30
SHP-100144,SKU-00478,SUP-118,LOC-004,26,DELAYED,2026-07-28,,DHL MY,TRK2290893211,1316.02
SHP-100145,SKU-00036,SUP-133,LOC-001,349,DELAYED,2026-07-29,,DHL MY,TRK6838817044,2305.03
SHP-100146,SKU-00314,SUP-055,LOC-016,496,DELAYED,2026-07-27,,J&T Express,TRK1640168066,245.41
SHP-100147,SKU-00070,SUP-058,LOC-015,331,DELAYED,2026-07-29,,GDEX,TRK9884974993,2250.96
SHP-100148,SKU-00089,SUP-128,LOC-019,111,DELAYED,2026-07-25,,TNT Malaysia,TRK8227284120,4543.19
SHP-100149,SKU-00336,SUP-137,LOC-011,170,DELAYED,2026-07-25,,TNT Malaysia,TRK7745423798,643.62
SHP-100150,SKU-00230,SUP-075,LOC-004,152,DELAYED,2026-07-30,,GDEX,TRK7646906397,679.42
SHP-100151,SKU-00374,SUP-001,LOC-008,290,DELAYED,2026-07-26,,J&T Express,TRK4137968987,2159.62
SHP-100152,SKU-00169,SUP-077,LOC-004,190,DELAYED,2026-07-28,,TNT Malaysia,TRK3965017100,2860.50
SHP-100153,SKU-00334,SUP-149,LOC-013,174,DELAYED,2026-07-23,,TNT Malaysia,TRK3933050644,549.52
SHP-100154,SKU-00458,SUP-136,LOC-001,108,DELAYED,2026-07-24,,DHL MY,TRK6533143804,1394.17
SHP-100155,SKU-00056,SUP-181,LOC-011,473,DELAYED,2026-07-28,,DHL MY,TRK6965580129,1232.72
SHP-100156,SKU-00377,SUP-122,LOC-009,458,DELAYED,2026-07-22,,Pos Laju,TRK8988834665,2764.48
SHP-100157,SKU-00096,SUP-091,LOC-002,146,DELAYED,2026-07-27,,City-Link,TRK5290809867,952.17
SHP-100158,SKU-00017,SUP-068,LOC-012,68,DELAYED,2026-07-30,,City-Link,TRK2458406802,1239.43
SHP-100159,SKU-00149,SUP-148,LOC-014,120,DELAYED,2026-07-22,,City-Link,TRK1152487889,4387.77
SHP-100160,SKU-00010,SUP-069,LOC-001,271,DELAYED,2026-07-21,,Pos Laju,TRK6530689969,180.22
SHP-100161,SKU-00491,SUP-079,LOC-007,15,DELAYED,2026-07-27,,DHL MY,TRK7111676920,4341.15
SHP-100162,SKU-00117,SUP-155,LOC-010,448,DELAYED,2026-07-24,,Pos Laju,TRK6683270866,2275.64
SHP-100163,SKU-00058,SUP-011,LOC-019,331,DELAYED,2026-07-25,,City-Link,TRK6119861735,4998.37
SHP-100164,SKU-00066,SUP-050,LOC-008,42,DELAYED,2026-07-27,,TNT Malaysia,TRK9909519381,281.93
SHP-100165,SKU-00019,SUP-175,LOC-004,255,DELAYED,2026-07-22,,J&T Express,TRK3354182096,4446.54
SHP-100166,SKU-00233,SUP-144,LOC-016,53,DELAYED,2026-07-22,,DHL MY,TRK8264130350,2782.31
SHP-100167,SKU-00293,SUP-178,LOC-001,265,DELAYED,2026-07-24,,TNT Malaysia,TRK7472759900,4658.16
SHP-100168,SKU-00228,SUP-023,LOC-007,310,DELAYED,2026-07-30,,DHL MY,TRK1918282009,4499.17
SHP-100169,SKU-00041,SUP-126,LOC-006,315,DELAYED,2026-07-26,,TNT Malaysia,TRK1191510869,4231.42
SHP-100170,SKU-00224,SUP-093,LOC-002,122,DELAYED,2026-07-21,,City-Link,TRK6434003287,3299.25
SHP-100171,SKU-00346,SUP-064,LOC-010,443,DELAYED,2026-07-27,,J&T Express,TRK3221542218,497.30
SHP-100172,SKU-00296,SUP-171,LOC-008,297,DELAYED,2026-07-26,,J&T Express,TRK1076076778,1062.13
SHP-100173,SKU-00391,SUP-010,LOC-008,472,DELAYED,2026-07-29,,TNT Malaysia,TRK3612702072,1929.15
SHP-100174,SKU-00029,SUP-016,LOC-013,264,DELAYED,2026-07-27,,City-Link,TRK6859190060,1801.90
SHP-100175,SKU-00375,SUP-161,LOC-004,439,DELAYED,2026-07-23,,TNT Malaysia,TRK9267938185,4681.37
SHP-100176,SKU-00252,SUP-041,LOC-010,75,DELAYED,2026-07-24,,City-Link,TRK2312878566,2088.90
SHP-100177,SKU-00003,SUP-066,LOC-001,49,DELAYED,2026-07-29,,Pos Laju,TRK3152948337,314.12
SHP-100178,SKU-00354,SUP-165,LOC-006,57,DELAYED,2026-07-21,,GDEX,TRK9276629563,3299.07
SHP-100179,SKU-00495,SUP-135,LOC-009,141,DELAYED,2026-07-24,,GDEX,TRK2597215130,2483.70
SHP-100180,SKU-00470,SUP-024,LOC-007,483,DELAYED,2026-07-21,,Pos Laju,TRK5323671353,3891.65
SHP-100181,SKU-00197,SUP-092,LOC-006,119,DELAYED,2026-07-24,,GDEX,TRK3133134004,4778.41
SHP-100182,SKU-00069,SUP-140,LOC-010,321,DELAYED,2026-07-29,,Pos Laju,TRK4233821050,4624.85
SHP-100183,SKU-00381,SUP-046,LOC-009,416,DELAYED,2026-07-29,,GDEX,TRK7224452367,1908.73
SHP-100184,SKU-00231,SUP-102,LOC-013,194,DELAYED,2026-07-21,,J&T Express,TRK7631600215,1514.44
SHP-100185,SKU-00411,SUP-034,LOC-004,151,DELAYED,2026-07-22,,GDEX,TRK5696397508,4865.42
SHP-100186,SKU-00438,SUP-065,LOC-016,368,DELAYED,2026-07-29,,DHL MY,TRK2100401568,3313.89
SHP-100187,SKU-00348,SUP-122,LOC-010,439,DELAYED,2026-07-21,,TNT Malaysia,TRK1370425235,2191.09
SHP-100188,SKU-00407,SUP-018,LOC-014,155,DELAYED,2026-07-22,,DHL MY,TRK3763215129,3182.52
SHP-100189,SKU-00200,SUP-177,LOC-008,236,DELAYED,2026-07-28,,DHL MY,TRK2325171182,1567.05
SHP-100190,SKU-00041,SUP-001,LOC-012,452,DELAYED,2026-07-27,,GDEX,TRK9787348241,4615.52
SHP-100191,SKU-00495,SUP-057,LOC-002,435,DELAYED,2026-07-26,,GDEX,TRK7642740420,3759.78
SHP-100192,SKU-00169,SUP-075,LOC-002,147,DELAYED,2026-07-27,,City-Link,TRK9201578233,4722.85
SHP-100193,SKU-00253,SUP-169,LOC-007,251,DELAYED,2026-07-26,,City-Link,TRK7739976361,4264.09
SHP-100194,SKU-00330,SUP-064,LOC-004,41,DELAYED,2026-07-30,,City-Link,TRK3281226105,1788.04
SHP-100195,SKU-00069,SUP-091,LOC-019,88,DELAYED,2026-07-29,,GDEX,TRK7063539368,213.81
SHP-100196,SKU-00151,SUP-045,LOC-018,485,DELAYED,2026-07-27,,City-Link,TRK1434309226,1269.68
SHP-100197,SKU-00494,SUP-182,LOC-011,373,DELAYED,2026-07-25,,City-Link,TRK8712406649,1839.91
SHP-100198,SKU-00158,SUP-021,LOC-007,342,DELAYED,2026-07-22,,Pos Laju,TRK5975064741,2375.63
SHP-100199,SKU-00485,SUP-049,LOC-016,154,DELAYED,2026-07-29,,Pos Laju,TRK2191418543,4745.79
SHP-100200,SKU-00172,SUP-113,LOC-012,180,CANCELLED,2026-07-08,,TNT Malaysia,TRK3792334862,4994.11
SHP-100201,SKU-00195,SUP-194,LOC-008,7,CANCELLED,2026-05-14,,Pos Laju,TRK7040767961,3504.55
SHP-100202,SKU-00162,SUP-117,LOC-017,234,CANCELLED,2026-06-17,,DHL MY,TRK8878468085,3696.49
SHP-100203,SKU-00103,SUP-101,LOC-014,330,CANCELLED,2026-06-22,,TNT Malaysia,TRK4987399370,3963.89
SHP-100204,SKU-00189,SUP-100,LOC-018,44,CANCELLED,2026-07-02,,GDEX,TRK2864756385,4458.65
SHP-100205,SKU-00027,SUP-078,LOC-003,455,CANCELLED,2026-06-03,,GDEX,TRK8727347064,1686.65
SHP-100206,SKU-00310,SUP-104,LOC-019,201,CANCELLED,2026-06-23,,City-Link,TRK8698981487,4399.96
SHP-100207,SKU-00307,SUP-170,LOC-018,175,CANCELLED,2026-08-12,,City-Link,TRK4675265991,188.10
SHP-100208,SKU-00200,SUP-133,LOC-008,344,CANCELLED,2026-08-10,,DHL MY,TRK1685064152,3916.92
SHP-100209,SKU-00240,SUP-195,LOC-015,359,CANCELLED,2026-05-21,,Pos Laju,TRK3539184268,4309.58
SHP-100210,SKU-00265,SUP-152,LOC-015,307,CANCELLED,2026-06-05,,J&T Express,TRK1342562433,548.48
SHP-100211,SKU-00219,SUP-006,LOC-016,240,CANCELLED,2026-05-17,,DHL MY,TRK4182993890,1700.79
SHP-100212,SKU-00150,SUP-175,LOC-019,438,CANCELLED,2026-07-23,,J&T Express,TRK5584193081,4412.14
SHP-100213,SKU-00127,SUP-013,LOC-016,274,CANCELLED,2026-05-16,,J&T Express,TRK7143573873,4069.75
SHP-100214,SKU-00128,SUP-085,LOC-018,222,CANCELLED,2026-07-28,,DHL MY,TRK1764066701,1046.47
SHP-100215,SKU-00227,SUP-038,LOC-012,192,CANCELLED,2026-05-18,,J&T Express,TRK7923323992,4051.17
SHP-100216,SKU-00041,SUP-074,LOC-011,346,CANCELLED,2026-05-05,,City-Link,TRK5038008854,2024.88
SHP-100217,SKU-00366,SUP-143,LOC-019,59,CANCELLED,2026-06-20,,DHL MY,TRK1391407327,1933.58
SHP-100218,SKU-00346,SUP-137,LOC-016,144,CANCELLED,2026-06-03,,DHL MY,TRK5244695293,2819.51
SHP-100219,SKU-00160,SUP-179,LOC-004,463,CANCELLED,2026-07-09,,J&T Express,TRK9007444228,2291.42
SHP-100220,SKU-00340,SUP-179,LOC-004,167,CANCELLED,2026-06-23,,City-Link,TRK1104310177,1000.48
SHP-100221,SKU-00333,SUP-195,LOC-007,356,CANCELLED,2026-06-28,,J&T Express,TRK3405965264,3084.51
SHP-100222,SKU-00307,SUP-151,LOC-013,241,CANCELLED,2026-05-19,,Pos Laju,TRK5147377637,4075.18
SHP-100223,SKU-00442,SUP-091,LOC-020,28,CANCELLED,2026-06-03,,Pos Laju,TRK9499459279,1770.83
SHP-100224,SKU-00361,SUP-044,LOC-005,487,CANCELLED,2026-07-08,,Pos Laju,TRK1747954744,2619.90
SHP-100225,SKU-00225,SUP-158,LOC-018,27,CANCELLED,2026-05-10,,GDEX,TRK3307474669,4515.91
